rank,noun,adj,count
304,rice,small,1
305,way,other,1
306,it,understandable,1
307,sauce,enough,1
308,order,first,1
309,size,good,1
310,chicken,good,1
311,salad,hot,1
312,size,full,1
313,chicken,full,1
314,flavour,full,1
315,item,true,1
316,offering,traditional,1
317,offering,true,1
318,rice,cold,1
319,customer service,best,1
320,juicy,super,1
321,tender,super,1
322,marinate,super,1
323,rice,moist,1
324,rice,fluffy,1
325,naan,typical,1
326,it,harder,1
327,it,smaller,1
328,it,thicker,1
329,it,nonetheless really good,1
330,naan,harder,1
331,naan,smaller,1
332,naan,thicker,1
333,naan,nonetheless really good,1
334,garlic sauce,hot,1
335,Service,self-serve,1
336,food court,self-serve,1
337,meat,fresh,1
338,night,very busy,1
339,food place,popular,1
340,food place,self-serve,1
341,food,own,1
342,food restaurant,fast,1
343,plate,real,1
344,cutlery,real,1
345,portion,generous,1
346,pricing,fair,1
347,they,relatively new,1
348,design,interior,1
349,item,free,1
350,quality,good,1
351,kebab,nice,1
352,kebab,juicy,1
353,rice,flavorful,1
354,bit,pricey,1
355,service restaurant,full,1
356,quality,extremely slow,1
357,restaurant,almost empty,1
358,hour,almost empty,1
359,environment,very fancy,1
360,kofta chicken skewer,kandahar,1
361,kofta chicken skewer,juicy,1
362,kofta chicken skewer,flavourful,1
363,sauce,juicy,1
364,sauce,flavourful,1
365,chance,second,1
366,thing,such,1
367,thing,great,1
368,meat,tough,1
369,Ramadan,tough,1
370,time,iftar,1
371,pack,iftar,1
372,its,so disappointing,1
373,food,okay,1
374,staff isnt,okay,1
375,it,big,1
376,delicacy,other,1
377,Mintoo,such,1
378,waitress,slim,1
379,quantity,reasonable,1
380,it,easily possible,1
381,rice,amazing,1
382,rice,make,1
383,price,very reasonable,1
384,it,prepare,1
385,improvement,major,1
386,I,not afraid,1
387,size,larger,1
388,meat,juicier,1
389,tender,larger,1
390,they,literally grilled,1
391,perfection,literally grilled,1
392,they,delicious,1
393,everything,delicious,1
394,rice,flavourful,1
395,salad,fragrant,1
396,salad,flavourful,1
397,contrast,nice,1
398,yogurt sauce,more,1
399,side,pricey,1
400,it,definitely worth,1
401,it,just unappetizing,1
402,bone,full,1
403,rice,full,1
404,half,full,1
405,seat,many,1
406,experience,enough,1
407,experience,overall,1
408,service,just okay,1
409,we,okay,1
410,it,pretty bland,1
411,it,not have,1
412,flavour,enough,1
413,it,not horrible,1
414,food,not horrible,1
415,flavour,more,1
416,price,worth,1
417,piece,huge,1
418,sauce,so good,1
