rank,noun,adj,count
0,eye,dry,6
1,place,other,6
2,staff,friendly,5
3,staff,amazing,5
4,day,next,5
5,I,so happy,5
6,I,happier,5
7,decision,best,4
8,process,whole,4
9,experience,great,4
10,eye,right,4
11,everyone,friendly,4
12,consultation,free,4
13,I,glad,4
14,he,best,4
15,procedure,quick,4
16,eye,left,4
17,candidate,good,4
18,year,old,4
19,day,few,4
20,thing,good,4
21,desk,front,3
22,hand,good,3
23,year,few,3
24,I,very nervous,3
25,time,first,3
26,month,few,3
27,doctor,best,3
28,I,comfortable,3
29,procedure,entire,3
30,thing,first,3
31,vision,better,3
32,staff,entire,3
33,vision institute,wellish,3
34,consultation,initial,3
35,I,so excited,3
36,eye,first,3
37,record,medical,3
38,nothing,short,3
39,staff,great,3
40,doctor,great,3
41,consultation,first,3
42,doctor,other,3
43,appointment,first,3
44,candidate,eligible,3
45,hour,post-op,3
46,I,extremely happy,2
47,bit,nervous,2
48,patient,other,2
49,staff,so great,2
50,caring,honest,2
51,decision,easy,2
52,review,great,2
53,I,calm,2
54,vision,great,2
55,visit,pleasant,2
56,deal,best,2
57,deal,big,2
58,technology,latest,2
59,staff,very friendly,2
60,exam,pre-op,2
61,eye,second,2
62,Thursday,last,2
63,I,satisfied,2
64,%,satisfied,2
65,staff,efficient,2
66,time,minimal,2
67,I,ready,2
68,my,pre-op,2
69,staff,awesome,2
70,vision,perfect,2
71,I,ecstatic,2
72,procedure,relatively painless,2
73,I,extremely impressed,2
74,problem,other,2
75,LASIK,30th,2
76,June,30th,2
77,custom,second,2
78,Super,blurry,2
79,procedure,blurry,2
80,pair,next,2
81,pair,second,2
82,I,heartbroken,2
83,option,possible,2
84,option,temporary,2
85,option,heartbroken,2
86,humidifier,special,2
87,supplement,additional,2
88,kind,additional,2
89,procedure,possible,2
90,procedure,dry,2
91,vision,very blurry,2
92,night vision,really bad,2
93,procedure,additional,2
94,procedure,painless,2
95,doctor,good,2
96,hand,great,2
97,experience,amazing,2
98,day,same,2
99,consultation,post-op,2
100,surgery,actual,2
101,thing,whole,2
102,doctor,knowledgeable,2
103,decision,right,2
104,I,able,2
105,what,best,2
106,you,best,2
107,member,single,2
108,investment,best,2
109,I,old,2
110,it,so worth,2
111,people,good,2
112,LASIK,other,2
113,patient,only,2
114,people,other,2
115,appointment,post-op,2
116,thing,best,2
117,option,different,2
118,optometrist,regular,2
119,result,great,2
120,morning,next,2
121,op,pre,2
122,visit,first,2
123,they,excellent,2
124,time,several,2
125,town,best,2
126,I,happy,2
127,hour,late,2
128,staff,nice,2
129,minute,longer,2
130,staff,professional,2
131,result,final,2
132,result,surgical,2
133,experience,entire,2
134,surgeon,refractive,2
135,surgeon,other,2
136,basis,regular,2
137,practice,phenomenal,1
138,Dr Wellish,absolutely top-notch,1
139,staff,incredible,1
140,level,extra,1
141,age,unusually young,1
142,care,terrific,1
143,light,sensitive,1
144,Dr Wellish,truly terrific,1
145,vist,follow-up,1
146,I,very pleased,1
147,vision,very pleased,1
148,variance,great,1
149,part,financial,1
150,vision,horrible,1
151,Dr Wellish,best,1
152,they,very attentive,1
153,kind,very attentive,1
154,appointment,next,1
155,week,past,1
156,time,past,1
157,test,few,1
158,eye,deep,1
159,job,amazing,1
160,bit,new,1
161,I,new,1
162,man,new,1
163,visión,great,1
164,service,amazing,1
165,it,due,1
166,area,due,1
167,they,located,1
168,area,located,1
169,patient,little,1
170,ghetto,little,1
171,glass,occasional,1
172,I,still pretty nearsighted,1
173,seat,sh*tty,1
174,lady,just bigger,1
175,call,wake-up,1
176,sight,far,1
177,tech,nice,1
178,tech,personable,1
179,time,nice,1
180,time,personable,1
181,Dr Langford,awesome,1
182,everything,ok,1
183,I,impressed,1
184,my,dumb@ss,1
185,appointment,wrong,1
186,it,so nice,1
187,they,so nice,1
188,I,fine,1
189,inconvenience,minor,1
190,price,better,1
191,eye,particular,1
192,fog,thick,1
193,practice,very busy,1
194,practice,operate,1
195,exam,initial,1
196,upgrade,available,1
197,dr.,very busy,1
198,dr.,operate,1
199,appointment,entire,1
200,meat market rush,such,1
201,what,describing-said,1
202,I,describing-said,1
203,profit center,huge,1
204,feeling,for-and,1
205,understanding,for-and,1
206,eye,same,1
207,eye,hazy,1
208,pick,most likely,1
209,go,most likely,1
210,outfit,big,1
211,thing,enough great,1
212,thing,great,1
213,care,post-op,1
214,I,free,1
215,glass,free,1
216,contact,free,1
217,time,free,1
218,staff,excellent,1
219,procedure,excellent,1
220,outcome,excellent,1
221,I,more happier,1
222,result,more happier,1
223,Vision Lasik,so much wellish,1
224,cause,not sure,1
225,hour,few,1
226,eye,extremely dry,1
227,eye,red,1
228,pain,less,1
229,he,very knowledgeable,1
230,thing,different,1
231,time,comfortable,1
232,reaction,bad,1
233,reaction,allergic,1
234,Dr. Ortiz,able,1
235,eyedrop,so much better,1
236,anything,so much better,1
237,use,great,1
238,professionalism,excellent,1
239,result,extremely happy,1
240,review,full,1
241,review,honest,1
242,counselor,very helpful,1
243,everyone,extremely helpful,1
244,staff,very helpful,1
245,procedure,very quick,1
246,feeling,great,1
247,drop,few,1
248,price,small,1
249,staff,wonderful,1
250,Dr. Wellish,so thankful,1
251,clinic,other,1
252,my,pre-screen,1
253,assistant,pre-screen,1
254,eye,best,1
255,appointment,pre-opp,1
256,corneal disease,rare,1
257,something,not good,1
258,eye,not good,1
259,dr,honest,1
260,dr,skilled,1
261,doctor welish,great,1
262,nothing,best,1
263,place.,peaceful,1
264,eye doctor,regular,1
265,research,after much,1
266,candidate,best,1
267,right,nervous,1
268,calm,nervous,1
269,he,friendly,1
270,day,1st,1
271,see,1st,1
272,wait time,not bad,1
273,tehanus,so sweet,1
274,tehanus,remember,1
275,Rebecca,refractive,1
276,I,ok,1
277,right,comfortable,1
278,Dr. Wellish,so amazing,1
279,Dr. Wellish,awesome,1
280,Dr. Wellish,keep,1
281,Dr. McCandless,so nice,1
282,caring,so nice,1
283,dr.langford,best,1
284,care,awesome,1
285,eye,pink,1
286,I,extremely grateful,1
287,I,not say,1
288,Langford,enough,1
289,staff,enough,1
290,thanks,exceptional,1
291,care,great,1
292,asset,true,1
293,deliver,true,1
294,customer service,great,1
295,consultation,easier,1
296,up,most,1
297,up,easier,1
298,Dr.,wellish,1
299,eye dr,best,1
300,name everyone,familiar,1
301,name,familiar,1
302,he,familiar,1
303,thing,positive,1
304,he,cheapest,1
305,price,lesser,1
306,team,amazing,1
307,team,entire,1
308,consultation,few,1
309,consultation,close,1
310,home,close,1
311,doctor,amazing,1
312,place,right,1
313,candidate,impeccable,1
314,he,just wonderful,1
315,dr.wellish,so gentle,1
316,kind,so gentle,1
317,minute,few,1
318,standard,same,1
319,he,own,1
320,doctor,so happy,1
321,review,not more,1
322,product,final,1
323,cut,clear,1
324,question,unanswered,1
325,result,optimal,1
326,I,so glad,1
327,intake,initial,1
328,intake,so nice,1
329,intake,professional,1
330,intake,absolute,1
331,intake,pre,1
332,intake,post-op,1
333,Bernie,pre,1
334,Bernie,post-op,1
335,Dr. McCandless,pre,1
336,Dr. McCandless,post-op,1
337,staff member,single,1
338,staff member,so nice,1
339,staff member,professional,1
340,staff member,absolute,1
341,wreck,absolute,1
342,room,pre-op,1
343,downstairs,young,1
344,she,so comforting,1
345,she,really just help,1
346,ease,ready,1
347,turn,ready,1
348,I,sure,1
349,he,just great,1
350,regret,only,1
351,personality,so nice,1
