word,indicativeness
better,0.0005345580231841057
bland,0.0005218640785982688
ok,0.00043364096623644285
bad,0.00042972555025082835
dry,0.000371893219698005
same,0.0003490563027076453
okay,0.00034048231793887653
mediocre,0.00031790313331303116
cold,0.000260532192775061
decent,0.0002474981106451379
disappointing,0.00023991412203101396
much,0.0002312544595296783
slow,0.00022044688815960647
chinese,0.000214256307139665
second,0.0002028433010278365
other,0.00019886733106043282
empty,0.00019451534433098465
flavorless,0.00017945530399379923
fine,0.00017467131709243903
disappointed,0.00016966659667760618
small,0.00016093509571618245
dirty,0.00015947287885181524
last,0.00015733696124346436
terrible,0.0001483310369319753
tasteless,0.00014393504371841301
average,0.00013706641216598852
poor,0.00013544982861157443
high,0.00012903909845291952
watery,0.00012362332754348976
sad,0.00012236144929449465
tiny,0.00012074018140897496
hard,0.00011328986737711737
meh,0.00011250392531457913
soggy,0.00011122040215267432
salty,0.00010472111139705513
horrible,0.00010245811770207942
first,0.00010084917962226533
gross,9.608039506821618e-05
only,9.55796011943889e-05
greasy,9.336232016598483e-05
wrong,8.359620449378549e-05
worse,8.156685720416958e-05
rude,7.825630489895351e-05
weird,7.772581000378545e-05
previous,7.656153378185905e-05
real,7.46388894580676e-05
deep,7.41887196510612e-05
least,7.059688122716847e-05
alright,7.001636951362783e-05
french,6.931990285593702e-05
expensive,6.877806362404613e-05
awful,6.83847537856837e-05
stale,6.729173511202423e-05
sorry,6.592083462761655e-05
busy,6.477803543511422e-05
short,6.418032534190303e-05
sugary,6.329484367942964e-05
basic,6.264194236554505e-05
more,6.237431431750193e-05
tough,6.19516407619808e-05
uncomfortable,6.003863232496532e-05
mushy,5.915689171052022e-05
positive,5.852835366435091e-05
correct,5.806372222138832e-05
so-so,5.745422196044926e-05
subpar,5.6951530729564115e-05
ridiculous,5.6250143653625594e-05
overall,5.486088614747755e-05
ready,5.412107929900914e-05
few,5.350430277965401e-05
frustrated,5.060474481387537e-05
enough,4.8985100993542094e-05
strange,4.783304055015824e-05
chewy,4.7825902919003064e-05
odd,4.775977934412505e-05
longer,4.656793538050513e-05
underwhelming,4.6335600015727576e-05
sub-par,4.586291969800409e-05
wait,4.513457806513215e-05
thin,4.438254558091369e-05
canned,4.419398757131251e-05
depressing,4.419398757131251e-05
forgettable,4.419398757131251e-05
unprofessional,4.4028788772652255e-05
low,4.376785866984751e-05
fried,4.3082669894906066e-05
closest,4.2890490186375056e-05
2nd,4.2091779687367974e-05
slimy,4.173550288090428e-05
lackluster,4.173550288090428e-05
difficult,4.150820984790173e-05
sketchy,4.068966265630873e-05
smaller,3.9164166718966947e-05
orange,3.87236791878634e-05
front,3.815659092660254e-05
passable,3.807203186461956e-05
fresh-squeezed,3.773525805694252e-05
hungry,3.7177136407771146e-05
third,3.712882298880917e-05
korean,3.68373683434973e-05
big,3.516035534697822e-05
proper,3.5008184756813914e-05
less,3.469045593579956e-05
clumpy,3.457576403294375e-05
over-priced,3.457576403294375e-05
medium,3.4410426254111886e-05
bare,3.3844487823694976e-05
brown,3.348016303854993e-05
wet,3.254453008326221e-05
incorrect,3.183046004108465e-05
larger,3.162715414209445e-05
accurate,3.130434182492528e-05
additional,3.128579729437699e-05
young,3.0908692222965434e-05
inattentive,3.0660227457071354e-05
grainy,3.0660227457071354e-05
actual,3.0337875574994928e-05
serious,2.9662016653435377e-05
dark,2.9301749592608904e-05
fellow,2.911857458338415e-05
lack,2.8906347671977817e-05
bahn,2.872711098022463e-05
tolerable,2.8595488375966546e-05
acceptable,2.8222273965328737e-05
inconsistent,2.7854387860310978e-05
generic,2.7854387860310978e-05
bonus,2.7854387860310978e-05
bitter,2.7854387860310978e-05
unpleasant,2.780510053816858e-05
awkward,2.7208042203447552e-05
minimum,2.7082041533692564e-05
undercooked,2.6948816205351912e-05
extra,2.683074759253729e-05
african,2.622217358252735e-05
unwelcome,2.622217358252735e-05
shredded,2.565008202191329e-05
likely,2.5552503330583107e-05
carne,2.5460625957214515e-05
similar,2.536309789811619e-05
disabled,2.507151843292625e-05
yuck,2.507151843292625e-05
unimportant,2.507151843292625e-05
long,2.4905276143132584e-05
sticky,2.484129351514409e-05
dead,2.4729573217020403e-05
crappy,2.4729573217020403e-05
yellow,2.461966439899366e-05
upset,2.441379759378524e-05
lousy,2.4329462970897517e-05
dishonest,2.4329462970897517e-05
appropriate,2.4329462970897517e-05
lower,2.418111833817085e-05
curious,2.417521740449129e-05
lazy,2.392575205645618e-05
boring,2.3618276519557475e-05
authentic,2.3407710952134944e-05
saucy,2.317356517584251e-05
half,2.2716459893001994e-05
polish,2.2644327405605542e-05
higher,2.2396165924577247e-05
reminiscent,2.233572891513869e-05
non-existent,2.233572891513869e-05
unremarkable,2.2256140719500697e-05
flavourless,2.2096993785656255e-05
unlucky,2.2096993785656255e-05
narrow,2.1988472775880165e-05
older,2.197234993071316e-05
miserable,2.1163659436578155e-05
loose,2.0853825403626448e-05
tired,2.0562149102630427e-05
borderline,2.0562149102630427e-05
understaffed,2.0562149102630427e-05
nonexistent,2.0562149102630427e-05
ours,2.0562149102630427e-05
inside,2.008809782312996e-05
rough,1.977625038828497e-05
inedible,1.9765503306607933e-05
separate,1.9739377866861728e-05
stingy,1.971896390350675e-05
sparse,1.971896390350675e-05
ugly,1.971896390350675e-05
soupy,1.966663018689552e-05
unseasoned,1.966663018689552e-05
dire,1.966663018689552e-05
threaded,1.9270898447985206e-05
non-peak,1.9270898447985206e-05
2-star,1.9270898447985206e-05
danceable,1.9270898447985206e-05
blah,1.9270898447985206e-05
out-of-uniform,1.9270898447985206e-05
sound-proofed,1.9270898447985206e-05
ahoy,1.9270898447985206e-05
meager,1.9270898447985206e-05
substandard,1.9270898447985206e-05
squeeky,1.9270898447985206e-05
anemic,1.9270898447985206e-05
unrepairable,1.9270898447985206e-05
insipid,1.9270898447985206e-05
unbrowned,1.9270898447985206e-05
ho-hum,1.9270898447985206e-05
commensurate,1.9270898447985206e-05
approximate,1.9270898447985206e-05
hollow,1.9270898447985206e-05
extraordinary,1.8517761946809238e-05
rubbery,1.829052088065554e-05
former,1.829052088065554e-05
burnt,1.8246451155115593e-05
unacceptable,1.8138694802298356e-05
thick,1.8126021956050207e-05
angry,1.7713707389668107e-05
unappetizing,1.761178704292335e-05
prepackaged,1.761178704292335e-05
plus,1.761178704292335e-05
off,1.761178704292335e-05
several,1.7606614142907252e-05
atrocious,1.7593020101254868e-05
thirsty,1.7593020101254868e-05
scrambled,1.7593020101254868e-05
messy,1.7388905460600866e-05
filthy,1.7302258118714477e-05
multiple,1.697409892811542e-05
social,1.6744139115682113e-05
extreme,1.6744139115682113e-05
oily,1.6508204791673432e-05
fake,1.648505157837473e-05
mush,1.627586506252349e-05
western,1.627586506252349e-05
freshest,1.627586506252349e-05
epic,1.627586506252349e-05
bright,1.612214248835667e-05
devoid,1.5831800947843952e-05
acidic,1.5831800947843952e-05
sauced,1.5831800947843952e-05
scallop,1.5831800947843952e-05
heck,1.5831800947843952e-05
satisfactory,1.5831800947843952e-05
bogus,1.5831800947843952e-05
stereotypical,1.566763961729805e-05
paid,1.566763961729805e-05
subjective,1.566763961729805e-05
impolite,1.566763961729805e-05
bored,1.566763961729805e-05
8/10,1.566763961729805e-05
lacklustre,1.566763961729805e-05
aussie,1.566763961729805e-05
californian,1.566763961729805e-05
malay,1.566763961729805e-05
idiotic,1.566763961729805e-05
averse,1.566763961729805e-05
overrated,1.566763961729805e-05
maple,1.566763961729805e-05
swollen,1.566763961729805e-05
non-sushi,1.566763961729805e-05
peculiar,1.566763961729805e-05
scarce,1.566763961729805e-05
angled,1.566763961729805e-05
4/5,1.566763961729805e-05
smug,1.566763961729805e-05
lackadaisical,1.566763961729805e-05
easier,1.5538141756364428e-05
pleasant,1.5467997214456288e-05
ordinary,1.526069831526753e-05
shy,1.5049623058126384e-05
international,1.5049623058126384e-05
corporate,1.4904776109086454e-05
prime,1.4794181860304574e-05
overpriced,1.4273121315298907e-05
understandable,1.4273121315298907e-05
sufficient,1.4261741940864785e-05
critical,1.4261741940864785e-05
s,1.4261741940864785e-05
sauteed,1.4261741940864785e-05
partial,1.4261741940864785e-05
spotty,1.390255026908429e-05
lone,1.390255026908429e-05
plastic,1.3392065215419971e-05
sour,1.3264244022236363e-05
timely,1.3184166925523311e-05
adequate,1.3184166925523311e-05
uncooked,1.3111086791263675e-05
desired,1.3111086791263675e-05
inadequate,1.3111086791263675e-05
neither,1.3111086791263675e-05
abdominal,1.3111086791263675e-05
invisible,1.3111086791263675e-05
slowest,1.3111086791263675e-05
nowhere,1.3111086791263675e-05
blunt,1.3111086791263675e-05
rocky,1.3111086791263675e-05
c,1.3111086791263675e-05
pointless,1.3111086791263675e-05
christian,1.3111086791263675e-05
$20,1.3111086791263675e-05
amiss,1.3111086791263675e-05
close,1.3002049045023083e-05
latter,1.2857276300573959e-05
pale,1.2857276300573959e-05
crusty,1.2857276300573959e-05
indulgent,1.2857276300573959e-05
grumpy,1.2857276300573959e-05
noticeable,1.2857276300573959e-05
unhealthy,1.2857276300573959e-05
appetizing,1.2857276300573959e-05
square,1.2825041010956644e-05
smallest,1.2825041010956644e-05
lukewarm,1.2825041010956644e-05
turkish,1.259009412357124e-05
joint,1.2420646757572045e-05
female,1.2363788683781049e-05
pre-made,1.1809138259778738e-05
disrespectful,1.1809138259778738e-05
total,1.1735325514194797e-05
bottom,1.1586782587921255e-05
significant,1.1586782587921255e-05
n,1.1586782587921255e-05
abysmal,1.1586782587921255e-05
intense,1.1586782587921255e-05
apt,1.1586782587921255e-05
physical,1.1549287063548085e-05
single,1.1405241493986545e-05
squishy,1.1128070359750348e-05
edgy,1.1128070359750348e-05
pseudo,1.1128070359750348e-05
granite,1.1128070359750348e-05
bleh,1.1128070359750348e-05
gloppy,1.1128070359750348e-05
cultural,1.1128070359750348e-05
mandarin,1.1128070359750348e-05
sleepy,1.1128070359750348e-05
syrupy,1.1128070359750348e-05
spongy,1.1128070359750348e-05
over-cooked,1.1128070359750348e-05
unable,1.098617496535658e-05
random,1.0852676446474986e-05
pathetic,1.0848176694420729e-05
comparable,1.0795089821142124e-05
unfortunate,1.0795089821142124e-05
earlier,1.071081682678886e-05
native,1.0426912701813224e-05
asian,1.0164559947320791e-05
sick,1.0150286980304154e-05
plain,1.0135711027379398e-05
stellar,1.004404891156498e-05
english,1.004404891156498e-05
limp,9.936517406057634e-06
accessible,9.936517406057634e-06
sub,9.90284326513386e-06
mystical,9.635449223992603e-06
take-away,9.635449223992603e-06
vacuum-sealed,9.635449223992603e-06
meat/seafood,9.635449223992603e-06
un-spectacular,9.635449223992603e-06
romanian,9.635449223992603e-06
pre-assembled,9.635449223992603e-06
second-class,9.635449223992603e-06
spaghetti,9.635449223992603e-06
grocery-slash-eatery,9.635449223992603e-06
lemon,9.635449223992603e-06
salt--,9.635449223992603e-06
partially-filled,9.635449223992603e-06
in-store,9.635449223992603e-06
unidentifiable,9.635449223992603e-06
one/a,9.635449223992603e-06
jigsawed,9.635449223992603e-06
note-tahiti,9.635449223992603e-06
gawdy,9.635449223992603e-06
prearranged,9.635449223992603e-06
claim--the,9.635449223992603e-06
primitive,9.635449223992603e-06
raw-ish,9.635449223992603e-06
insistant,9.635449223992603e-06
teramo,9.635449223992603e-06
,ordered,9.635449223992603e-06
chocobanana,9.635449223992603e-06
udon-like,9.635449223992603e-06
rubber-like,9.635449223992603e-06
dilicate,9.635449223992603e-06
quantifiable,9.635449223992603e-06
onetime,9.635449223992603e-06
rented,9.635449223992603e-06
harrowing,9.635449223992603e-06
graffiti'd,9.635449223992603e-06
mediocre-to-bad,9.635449223992603e-06
queasy,9.635449223992603e-06
well-stocked,9.635449223992603e-06
pug,9.635449223992603e-06
intestinal,9.635449223992603e-06
6th,9.635449223992603e-06
now-cold,9.635449223992603e-06
clotted,9.635449223992603e-06
admirable,9.635449223992603e-06
yummy-looking,9.635449223992603e-06
ardelle,9.635449223992603e-06
blase,9.635449223992603e-06
salty-as-hell,9.635449223992603e-06
restless,9.635449223992603e-06
way-way,9.635449223992603e-06
elaborate,9.635449223992603e-06
ok.,9.635449223992603e-06
annoyed,9.635449223992603e-06
repairable,9.635449223992603e-06
hate-hate,9.635449223992603e-06
extreme-,9.635449223992603e-06
