word,indicativeness
great,0.0026417558481868233
best,0.001550738273285492
amazing,0.0013485815806429972
friendly,0.0010921745875905834
delicious,0.000775129052908676
awesome,0.0007029439327865117
happy,0.0005132540393693578
excellent,0.00045531918891324495
helpful,0.00041985068699324326
wonderful,0.0004145877130514886
professional,0.00039400609761385317
perfect,0.0003842174464147654
fresh,0.0003777591022264277
favorite,0.00037463441498266113
super,0.00036325913058893875
fantastic,0.0003622470636047628
new,0.00028568057373849206
clean,0.0002627198285305043
comfortable,0.00024426445847743365
beautiful,0.0002435539963700902
knowledgeable,0.00024021102328514117
free,0.00017108677995225887
incredible,0.00016376629875466427
glad,0.00015929608380474696
outstanding,0.00015292834966329982
able,0.000137027068531386
easy,0.0001268775597288933
quick,0.000124545680946871
nice,0.00012210362110294626
many,0.00011057486929900328
sweet,9.857754530224776e-05
local,9.729922649057424e-05
cool,9.246154132966265e-05
grateful,9.10092382277592e-05
gentle,9.065983576651017e-05
notch,8.907541021661469e-05
accommodating,8.864198462833612e-05
thorough,8.803292924156988e-05
top,8.49577965476955e-05
attentive,8.315896097477502e-05
yummy,8.312231844644931e-05
reasonable,8.274531067240787e-05
courteous,8.248242767789299e-05
dental,8.087840193449494e-05
fabulous,8.039952647996478e-05
first,7.990048843665742e-05
efficient,7.751007440740474e-05
lovely,7.448331170882786e-05
honest,7.301637627084165e-05
nervous,7.031867490966937e-05
exceptional,6.909665035576957e-05
phenomenal,6.585184757798188e-05
fast,6.521112024063946e-05
compassionate,6.447866729665179e-05
right,6.094636692861022e-05
happier,5.9160102764955185e-05
entire,5.7257061129092745e-05
unique,5.5433348040951395e-05
peaceful,5.374970808604023e-05
warm,5.2645130502349285e-05
painless,4.957903019983738e-05
thankful,4.922915385601827e-05
terrific,4.9144148948859305e-05
favourite,4.819541741247186e-05
healthy,4.774309581125478e-05
huge,4.739452974329336e-05
such,4.6784606576745e-05
knowledgable,4.579671016266758e-05
calm,4.574880548519836e-05
nicest,4.574880548519836e-05
hidden,4.482134972147807e-05
mexican,4.475271298034633e-05
smooth,4.413270269289272e-05
fair,4.343955477312929e-05
modern,4.341359723605457e-05
personable,4.171318763853937e-05
informative,3.992003324769653e-05
absolute,3.907481335220648e-05
flavorful,3.644641469680764e-05
regular,3.626024311831046e-05
patient,3.58176246913081e-05
authentic,3.45508789602708e-05
beloved,3.3504967273246806e-05
fun,3.302256946843178e-05
affordable,3.2776185015728994e-05
soft,3.2634200070323e-05
welcome,3.097927312092592e-05
everyday,3.079410966956243e-05
delish,2.9714258859853e-05
hawaiian,2.9189914121418895e-05
open,2.8823537765142456e-05
real,2.8157623147679167e-05
genuine,2.76661634312211e-05
polite,2.713313525411312e-05
pushy,2.703113428986497e-05
impeccable,2.703113428986497e-05
next,2.6735908736141885e-05
outdoor,2.5703240669979484e-05
respectful,2.532053047736757e-05
refreshing,2.5143645924522395e-05
creamy,2.4961003167384155e-05
cherry,2.4731049285043414e-05
sensitive,2.4562306832248523e-05
cute,2.438215706674699e-05
picky,2.4201090496830618e-05
closer,2.4139866070158525e-05
relaxing,2.405838031806021e-05
gorgeous,2.377479099978036e-05
go-to,2.3638979455935275e-05
prompt,2.2052911626485057e-05
personal,2.1814604050108945e-05
rental,2.1504128212801744e-05
eastern,2.1433662893358006e-05
live,2.1433662893358006e-05
legit,2.079417041127024e-05
easier,2.0675855424838306e-05
gracious,2.051332019494121e-05
awsome,2.0387267899218122e-05
coolest,2.0387267899218122e-05
east,2.0359116378073522e-05
swiss,2.0187651935609814e-05
superb,2.0101818770469514e-05
magical,2.0093524276042168e-05
fortunate,1.9960016623848266e-05
soothing,1.9958344259900336e-05
welcoming,1.9958344259900336e-05
middle,1.989574455116857e-05
worth,1.983226041279515e-05
italian,1.964314588095431e-05
minor,1.953740667610324e-05
possible,1.9294275944463902e-05
timely,1.889957562367057e-05
proud,1.887324092074483e-05
lebanese,1.887324092074483e-05
spacious,1.8736215709999882e-05
skeptical,1.8671181930575888e-05
furry,1.8565989944684436e-05
vegetarian,1.8407889561412757e-05
convenient,1.8308689302684282e-05
diverse,1.7966478693989843e-05
healthier,1.7966478693989843e-05
wide,1.790488058157476e-05
floral,1.764666764791031e-05
juicy,1.7624885141853177e-05
repeat,1.76042265407627e-05
afraid,1.7221099820200184e-05
thoughtful,1.6995193683517194e-05
true,1.6713346414837144e-05
turkish,1.6552859032614983e-05
crazy,1.648392612099399e-05
smart,1.6046206109780395e-05
confident,1.58656069668857e-05
delightful,1.572714969899952e-05
extensive,1.5639788733010538e-05
long,1.5603599444592434e-05
magnificent,1.5357059453154357e-05
stellar,1.5328010303462855e-05
painful,1.5217088885480241e-05
stuffed,1.5217088885480241e-05
loyal,1.5060813072393225e-05
future,1.4968648435642335e-05
ionic,1.492679483497849e-05
hardest,1.492679483497849e-05
consistent,1.4921317527744915e-05
final,1.4912708804344103e-05
important,1.4868112959087092e-05
straight,1.475383116086495e-05
ample,1.4610074524823272e-05
cajun,1.4340783613502538e-05
empathetic,1.4079609118222031e-05
frequent,1.3890096619318697e-05
responsive,1.379695369028635e-05
competent,1.379695369028635e-05
relaxed,1.3515567144932485e-05
upbeat,1.332899216650867e-05
ecstatic,1.3109655223828376e-05
flawless,1.289687484297678e-05
needed,1.289687484297678e-05
unbelievable,1.2851620334989742e-05
facial,1.2831780039051305e-05
post-op,1.27867881756632e-05
killer,1.27867881756632e-05
heavenly,1.27867881756632e-05
therapeutic,1.27867881756632e-05
meticulous,1.27867881756632e-05
hilarious,1.2618429111998327e-05
past,1.2495916334355093e-05
delicate,1.2451267344675101e-05
upscale,1.2223695877056119e-05
curly,1.213313625606178e-05
natural,1.2130991697566438e-05
cozy,1.2013296866577217e-05
special,1.189545380365552e-05
immaculate,1.1795775575465517e-05
hospitable,1.1764445098606873e-05
humble,1.1764445098606873e-05
precise,1.1764445098606873e-05
safe,1.1576565566678357e-05
various,1.1516959653423599e-05
homemade,1.1414862717053965e-05
reliable,1.1384375805954328e-05
wow,1.1361485228034089e-05
caring,1.1295011984763536e-05
colonic,1.1295011984763536e-05
mouthwatering,1.1295011984763536e-05
surgical,1.1295011984763536e-05
salami,1.1158286815525634e-05
appreciative,1.1158286815525634e-05
house-made,1.1158286815525634e-05
elegant,1.1026512192901259e-05
serene,1.0960104150568458e-05
valued,1.0960104150568458e-05
wellish,1.0960104150568458e-05
chiropractic,1.0960104150568458e-05
dreaded,1.0960104150568458e-05
adorable,1.0765765998834405e-05
considerate,1.0765765998834405e-05
sure,1.0759403666718598e-05
sexy,1.0741405558312293e-05
single,1.0727558311024673e-05
hesitant,1.0696835494006286e-05
outside,1.0668657215183829e-05
greek,1.0617094260914163e-05
pita,1.0547554519541675e-05
smoother,1.0547554519541675e-05
own,1.053993275493836e-05
scary,1.049863790659386e-05
spotless,1.049863790659386e-05
highest,1.049863790659386e-05
competitive,1.031177963412857e-05
mint,1.0021754044021685e-05
jewish,9.979172129950168e-06
straightforward,9.979172129950168e-06
latest,9.97909895709489e-06
talented,9.798220725873146e-06
divine,9.598154879474766e-06
poki,9.48399338446191e-06
passionate,9.48399338446191e-06
mother-in-law,9.48399338446191e-06
generous,9.473002051406398e-06
philly,9.460460322702257e-06
physical,9.365826757489234e-06
classic,9.27020652669035e-06
peach,9.261708816771677e-06
lasik,9.133420125473714e-06
sensational,9.133420125473714e-06
vintage,9.102836627044771e-06
difficult,9.034014592670651e-06
tremendous,8.80211327038135e-06
vegan,8.80211327038135e-06
enjoyable,8.748588319234532e-06
1st,8.743675784296153e-06
chic,8.741615730459002e-06
definite,8.645378545374682e-06
scrumptious,8.645378545374682e-06
classy,8.622238808488055e-06
willing,8.441823345720554e-06
flat,8.421388295757199e-06
vibrant,8.414660192426554e-06
newest,8.414660192426554e-06
uber,8.205328077976485e-06
saddest,8.205328077976485e-06
back,8.185963377108785e-06
friendliest,8.175828008076768e-06
comfy,8.06154357470253e-06
gigantic,7.92493033326012e-06
online,7.86376794182539e-06
trendy,7.83826397791059e-06
