word,indicativeness
good,0.00228266775562068
great,0.0009368863794892785
nice,0.0005805627502469828
delicious,0.0005515077495150924
tasty,0.0005207994169837916
fresh,0.00033255178218677373
small,0.00030801532619528234
spicy,0.0002647982311093959
little,0.00024357746444413558
huge,0.00024179755767123127
fried,0.0002350996942885139
korean,0.00023232106978559615
only,0.00022840615806943486
hot,0.00022288024511755758
overall,0.0002186880223520506
large,0.00020072385051664866
busy,0.00018736704664175008
fun,0.00017440437719902236
quick,0.00016757060348174485
big,0.00016282705445754594
reasonable,0.00015832246244882556
fast,0.00015748953058733123
friendly,0.0001471154545248465
solid,0.00014622883150085825
excellent,0.00013944452888386036
yummy,0.00013214400831320012
most,0.00012623358513194172
chinese,0.00012571511841314765
perfect,0.00012134153301105327
other,0.0001186501846575655
worth,0.00011218515184551562
full,0.00010952470566278595
attentive,0.00010895420320996813
favorite,0.00010806059282138205
italian,0.00010739782253655428
different,0.00010355260947727106
clean,0.00010337706231254599
typical,9.682381954710884e-05
cheap,9.573247220538875e-05
juicy,9.541333567624018e-05
crispy,9.403124343617775e-05
pricey,9.289538680033297e-05
unique,9.254809281326586e-05
sweet,9.102368283703062e-05
vietnamese,8.768237632525704e-05
local,8.637557057273039e-05
generous,8.629040929176459e-05
more,8.586411259882751e-05
green,8.135363798690599e-05
casual,8.047453558389699e-05
tender,7.696478401436382e-05
vegetarian,7.351883055949372e-05
free,7.19811606479329e-05
authentic,6.930299057690278e-05
quiet,6.531036227322047e-05
regular,6.472632514075535e-05
grilled,6.427874311232264e-05
japanese,6.405821031066114e-05
rich,6.391077418815205e-05
moist,6.380816601105359e-05
asian,6.337765187620922e-05
creamy,6.26423033515943e-05
pretty,6.176662444118156e-05
few,6.042041654884728e-05
traditional,6.003035277732206e-05
red,5.9919862421586436e-05
cool,5.95990263988274e-05
strong,5.861591755384724e-05
many,5.847719156902515e-05
pickled,5.788606844670653e-05
flavourful,5.537349936457486e-05
pleasant,5.4910527944941726e-05
cozy,5.483957436276806e-05
affordable,5.456276389184159e-05
decent,5.033202079699478e-05
interesting,4.925549502522451e-05
spacious,4.9206149327392814e-05
warm,4.877804854622412e-05
spanish,4.810292841268413e-05
thai,4.8024485394096946e-05
popular,4.7435276020233764e-05
mild,4.57207139181694e-05
own,4.4696802257688355e-05
impressive,4.4397621629249935e-05
enjoyable,4.4219694348883794e-05
massive,4.3793699499453944e-05
frozen,4.341923983326714e-05
standard,4.3400465625468e-05
sour,4.329613891744959e-05
wait,4.2768766317963764e-05
fancy,4.255739659138911e-05
close,4.241597698380179e-05
complimentary,4.2071626916053945e-05
cute,4.062293416013411e-05
classic,4.041658560528496e-05
soft,3.9986640418890275e-05
loud,3.821747122001568e-05
flavorful,3.800262981675788e-05
smaller,3.7494612937949864e-05
special,3.7253820944548e-05
modern,3.670705537428858e-05
american,3.660290546824407e-05
bigger,3.539775523334166e-05
fluffy,3.493680531716822e-05
hearty,3.465169017831412e-05
sure,3.4555225257120774e-05
simple,3.455251353784715e-05
main,3.43786469107786e-05
crisp,3.367286387180091e-05
indian,3.2933774476683006e-05
right,3.2447405993339584e-05
favourite,3.2221794559166e-05
famous,3.18832449434533e-05
superb,3.1627904962906445e-05
enough,3.161381729427535e-05
hungry,3.156093412979996e-05
crunchy,3.141116782628988e-05
hush,3.137496170744943e-05
mexican,3.067222314649726e-05
delightful,2.961996264888833e-05
wide,2.9102242042253807e-05
all-you-can-eat,2.8958019654693495e-05
cheesy,2.8806460608828902e-05
bright,2.8410610039861336e-05
super,2.8140879020108297e-05
cramped,2.801560008631424e-05
neat,2.801560008631424e-05
inexpensive,2.7669877210717316e-05
delish,2.697919271546371e-05
light,2.6152899340244294e-05
french,2.5851805000192757e-05
purple,2.576835609863681e-05
early,2.572406670114489e-05
steamed,2.548543611282899e-05
available,2.5414298446255693e-05
healthy,2.5077881386019095e-05
tangy,2.4522379901696917e-05
plenty,2.404092966631654e-05
ginormous,2.3910307822850048e-05
prompt,2.3882514835628027e-05
crazy,2.3825820259276368e-05
intimate,2.3688390895047794e-05
rare,2.356558837780588e-05
quaint,2.326934022567471e-05
surprising,2.326934022567471e-05
eastern,2.3188275839087908e-05
priced,2.3188275839087908e-05
refreshing,2.3155379599588258e-05
mixed,2.2990885486188993e-05
cheaper,2.2787959223596058e-05
open,2.2612459801048333e-05
larger,2.260352816124617e-05
comfy,2.2579640524233596e-05
hidden,2.2505289874601094e-05
creative,2.2109847174441897e-05
nicer,2.185167313448282e-05
slow,2.1550065835275374e-05
outdoor,2.093695588994053e-05
signature,2.0928638870883717e-05
next,2.083942692476616e-05
consistent,2.0785077555347234e-05
rustic,2.0625225964031405e-05
plain,2.0302470497091286e-05
daily,2.0187446464735355e-05
oily,2.016482002142562e-05
homemade,2.0023284363913602e-05
busier,1.9724027987477752e-05
sized,1.9498413653787668e-05
mega,1.9474726718127194e-05
chunky,1.9439049944548925e-05
extensive,1.941725914357787e-05
buffalo,1.934427117790414e-05
cajun,1.8965902250040737e-05
fave,1.894521905080624e-05
gluten-free,1.894521905080624e-05
various,1.8484604143804253e-05
exciting,1.8135900718996074e-05
lucky,1.7915521590791687e-05
