rank,noun,adj,count
1,fnb,good,19
2,fnb,hot,16
3,fnb,amazing,12
4,fnb,white,11
5,fnb,huge,10
6,fnb,great,10
7,fnb,best,9
8,time,first,7
9,fnb,delicious,6
10,fnb,fresh,6
11,fnb,dry,5
12,fnb,worth,5
13,fnb,afghan,5
14,fnb,ready,5
15,person,friendly,4
16,fnb,flavourful,4
17,it,busy,4
18,fnb,full,4
19,price,reasonable,4
20,fnb,plain,4
21,fnb,free,4
22,person,other,3
23,medium,rare,3
24,place,other,3
25,fnb,tasty,3
26,fnb,better,3
27,restaurant,other,3
28,wait,long,3
29,fnb,big,3
30,fnb,main,3
31,day,next,3
32,place,busy,3
33,fnb,moist,3
34,time,few,3
35,fnb,fragrant,3
36,fnb,so good,3
37,fnb,same,3
38,fnb,come,3
39,fnb,very good,3
40,restaurant,halal,3
41,fnb,extra,3
42,person,young,3
43,its,dry,2
44,place,best,2
45,place,nice,2
46,fnb,little,2
47,place,great,2
48,hour,peak,2
49,visit,next,2
50,fnb,very similar,2
51,it,ready,2
52,person,impressed,2
53,nothing,special,2
54,fnb,few,2
55,fnb,sliced,2
56,item,other,2
57,option,veggie,2
58,time,next,2
59,part,worst,2
60,person,busy,2
61,person,completely clueless,2
62,thing,same,2
63,hand,bare,2
64,person,few,2
65,type,different,2
66,it,totally worth,2
67,wait,totally worth,2
68,quality food,good,2
69,it,very busy,2
70,flavour,good,2
71,fnb,small,2
72,item,not available,2
73,half,not available,2
74,pickings,slim,2
75,fnb,typical,2
76,food place,fast,2
77,fnb,nice,2
78,fnb,juicy,2
79,time,long,2
80,price,decent,2
81,plate,full,2
82,person,front,2
83,fnb,filet,2
84,table,many,2
85,experience,good,2
86,seat,own,2
87,customer service,terrible,2
88,time,last,2
89,fnb,super,2
90,restaurant,afghani,2
91,person,only,2
92,fnb,average,2
93,decor,nice,2
94,lineup,busy,2
95,trip,second,2
96,evening,usually very busy,2
97,fnb,very delicious,2
98,taste,great,2
99,person,favourite,2
100,fnb,not worth,2
101,day,busy,2
102,fnb,extremely flavourful,2
103,restaurant,big,2
104,fnb,very flavourful,2
105,fnb,afghani,2
106,person,counter,2
107,fnb,halal,2
108,minute,few,1
109,place,still open,1
110,kind,still open,1
111,bolanus,undercooked,1
112,bolanus,fill,1
113,bolanus,worst,1
114,box,less,1
115,consist,less,1
116,end,less,1
117,quantity,equal,1
118,throat burning sauce,super,1
119,throat burning sauce,spicy,1
120,experience,recent,1
121,week,last,1
122,it,average,1
123,yogurt salad,average,1
124,fnb,green,1
125,temperature,wrong,1
126,chop,second,1
127,person,medium,1
128,person,too hard,1
129,medium,medium,1
130,medium,too hard,1
131,its,awful,1
132,location,new,1
133,it,spicy,1
134,it,really really tasty,1
135,occasion,numerous,1
136,year,past,1
137,person,not wrong,1
138,pm,perfect,1
139,chandelier,fancy,1
140,picture,great,1
141,image,great,1
142,seat,foward,1
143,person,accommodate,1
144,fnb,sultani,1
145,Kandahar Kebab,sultani,1
146,fnb,orange,1
147,yum,good,1
148,place,soon busy,1
149,place,pack,1
150,kabob place,best,1
151,it,so worth,1
152,wait,so worth,1
153,beef kabob,great,1
154,juicy,huge,1
155,value,much better,1
156,style,very similar,1
157,style,similar,1
158,fill sauce,creamy,1
159,fnb,absolutely delicious,1
160,basmatus,brown,1
161,basmatus,long,1
162,way,nice,1
163,doll sauce,creamy,1
164,fnb,also really tasty,1
165,flavour,so much,1
166,it,actually spicy,1
167,fnb,actually spicy,1
168,fnb,also good,1
169,veggie kabab,nice,1
170,option,great,1
171,it,present,1
172,fnb,indian,1
173,fnb,present,1
174,fnb,massive,1
175,price,massive,1
176,quality,massive,1
177,day,2nd,1
178,fnb,too much,1
179,it,disproportionate,1
180,Bamyan,better,1
181,Naan/Kabab,better,1
182,atmosphere,very noisy,1
183,person,so many,1
184,restaurant,only,1
185,place,pretty similar,1
186,fountain,huge,1
187,fixture,huge,1
188,restaurant,huge,1
189,restaurant,decorate,1
190,Bamiyan,also similar,1
191,order,ready,1
192,microphone,ready,1
193,bit,long,1
194,fnb,yogurt-like,1
195,fnb,warm,1
196,chicken kabob,delicious,1
197,chicken kofta,also good,1
198,mix,interesting,1
199,restaurant,areal,1
200,environment,areal,1
201,self-service,mcdonald-style,1
202,fnb,well-marinaded,1
203,food court fare,above-average,1
204,section,special,1
205,option,available,1
206,menu,available,1
207,option,other,1
208,bucket,water/liquid,1
209,service,poor,1
210,place,messy,1
211,kabob odor,harsh,1
212,idea,amazing,1
213,spicy,fresh,1
214,spicy,flavourful,1
215,spicy,delicious,1
216,it,too good,1
217,pricing,expensive,1
218,pillar,nice,1
219,lighting,nice,1
220,step,nice,1
221,restaurant,old,1
222,fnb,kandahar,1
223,min,ready,1
224,person,ready,1
225,nothing,great,1
226,nothing,not even decent,1
227,fnb,very little,1
228,fnb,despicable,1
229,restaurant,afghan,1
230,one,so many,1
231,one,good,1
232,flavour,excellent,1
233,value,great,1
234,person,big,1
235,kabob meal,big,1
236,House,special,1
237,vegetable,grilled,1
238,challenge,big,1
239,challenge,busy,1
240,it,worth,1
241,place,horrible,1
242,it,sooo hot,1
243,experience,terrible,1
244,quality,not good,1
245,time,2nd,1
246,time,shorter,1
247,fnb,pretty good,1
248,service,horrendous,1
249,who,completely clueless,1
250,themselves,confused,1
251,no-no,big,1
252,time,several,1
253,finger,same,1
254,food cleanliness,basic,1
255,person,basic,1
256,fnb,nasty,1
257,fnb,not great,1
258,veggie mantoo,veggie,1
259,fnb,never available,1
260,service,hordenous,1
261,take,back,1
262,person,annoyed,1
263,place,indeed superior,1
264,Bamiyan,indeed superior,1
265,kebab spot,nice,1
266,try,most,1
267,end,east,1
268,fnb,spiced,1
269,restaurant,beautiful,1
270,dip,awesome,1
271,fnb,awesome,1
272,dip,hot,1
273,menu,good,1
274,value,amazing,1
