rank,noun,adj,count
1,fnb,hot,14
2,fnb,cold,14
3,fnb,best,14
4,fnb,good,12
5,fnb,other,11
6,fnb,large,8
7,fnb,sweet,8
8,fnb,vegetarian,7
9,person,friendly,6
10,fnb,delicious,6
11,fnb,quick,6
12,fnb,fresh,5
13,fnb,italian,5
14,fnb,great,5
15,fnb,small,5
16,fnb,free,5
17,fnb,generous,5
18,fnb,amazing,4
19,person,good,4
20,time,last,4
21,thing,good,4
22,person,favorite,4
23,fnb,huge,4
24,fnb,really good,4
25,location,other,4
26,fnb,veggie,4
27,time,first,4
28,option,vegetarian,4
29,fnb,warm,4
30,fnb,soft,3
31,fnb,better,3
32,fnb,philly,3
33,place,other,3
34,fnb,favorite,3
35,fnb,awesome,3
36,fnb,moist,3
37,fnb,usual,3
38,week,last,3
39,time,next,3
40,option,great,3
41,fnb,sliced,3
42,fnb,buttery,3
43,fnb,swiss,2
44,person,italian,2
45,person,seem,2
46,order,online,2
47,quality,good,2
48,fnb,ok,2
49,location,different,2
50,person,hubby,2
51,price,great,2
52,fnb,famous,2
53,fnb,leftover,2
54,person,very friendly,2
55,favorite,new,2
56,option,vegan,2
57,fnb,roasted,2
58,something,cheap,2
59,person,ok,2
60,fnb,memorable,2
61,person,frequent,2
62,fnb,same,2
63,fnb,extra,2
64,rock casino,red,2
65,person,special,2
66,fnb,full,2
67,person,small,2
68,fnb,real,2
69,person,few,2
70,person,other,2
71,fnb,pillowy,2
72,fnb,dry,2
73,Thanksgiving,traditional,2
74,fan,big,2
75,review,great,2
76,person,great,2
77,fnb,melted,2
78,person,rude,2
79,time,long,2
80,fnb,russian,2
81,fnb,absolutely yummy,2
82,it,definitely worth,2
83,it,delicious,2
84,value,great,2
85,fnb,key,2
86,joint,other,2
87,person,disheartened,2
88,location,retail,2
89,marketplace,disheartened,2
90,fnb,mock,2
91,fnb,meatless,2
92,lettuce,generous,2
93,gobble,gobble,2
94,location,good,2
95,fnb,super,2
96,option,other,2
97,option,faux-meat,2
98,sandwich spot,decent,1
