rank,noun,adj,count
1,person,friendly,13
2,person,best,11
3,person,other,9
4,person,great,8
5,person,amazing,7
6,person,awesome,7
7,person,so happy,6
8,eye,dry,6
9,place,other,6
10,day,next,5
11,person,happier,5
12,person,excellent,5
13,person,glad,5
14,person,good,5
15,person,knowledgeable,5
16,person,nice,5
17,person,so nice,4
18,decision,best,4
19,process,whole,4
20,experience,great,4
21,eye,right,4
22,person,comfortable,4
23,person,able,4
24,consultation,free,4
25,person,very friendly,4
26,person,pre-op,4
27,procedure,quick,4
28,eye,left,4
29,candidate,good,4
30,year,old,4
31,day,few,4
32,thing,good,4
33,person,professional,4
34,person,very sweet,4
35,desk,front,3
36,hand,good,3
37,year,few,3
38,person,very nervous,3
39,time,first,3
40,month,few,3
41,procedure,entire,3
42,thing,first,3
43,person,refractive,3
44,vision,better,3
45,person,entire,3
46,vision institute,wellish,3
47,consultation,initial,3
48,person,so excited,3
49,eye,first,3
50,person,own,3
51,person,post-op,3
52,person,old,3
53,record,medical,3
54,person,ecstatic,3
55,nothing,short,3
56,person,nicest,3
57,person,most care,3
58,consultation,first,3
59,person,very nice,3
60,appointment,first,3
61,candidate,eligible,3
62,person,so grateful,3
63,hour,post-op,3
64,person,extremely happy,2
65,person,very attentive,2
66,bit,nervous,2
67,person,new,2
68,patient,other,2
69,person,so great,2
70,caring,honest,2
71,decision,easy,2
72,review,great,2
73,person,very knowledgeable,2
74,person,calm,2
75,vision,great,2
76,visit,pleasant,2
77,person,wonderful,2
78,deal,best,2
79,deal,big,2
80,technology,latest,2
81,person,ok,2
82,exam,pre-op,2
83,person,enough,2
84,eye,second,2
85,Thursday,last,2
86,person,satisfied,2
87,%,satisfied,2
88,person,efficient,2
89,time,minimal,2
90,person,pre,2
91,person,ready,2
92,vision,perfect,2
93,person,many,2
94,procedure,relatively painless,2
95,person,extremely impressed,2
96,problem,other,2
97,LASIK,30th,2
98,June,30th,2
99,custom,second,2
100,Super,blurry,2
101,procedure,blurry,2
102,pair,next,2
103,pair,second,2
104,person,heartbroken,2
105,option,possible,2
106,option,temporary,2
107,option,heartbroken,2
108,humidifier,special,2
109,supplement,additional,2
110,kind,additional,2
111,procedure,possible,2
112,procedure,dry,2
113,vision,very blurry,2
114,night vision,really bad,2
115,procedure,additional,2
116,person,very thorough,2
117,procedure,painless,2
118,person,helpful,2
119,hand,great,2
120,experience,amazing,2
121,day,same,2
122,consultation,post-op,2
123,surgery,actual,2
124,thing,whole,2
125,decision,right,2
126,person,right,2
127,what,best,2
128,member,single,2
129,investment,best,2
130,it,so worth,2
131,person,outstanding,2
132,person,competent,2
133,person,such,2
134,LASIK,other,2
135,patient,only,2
136,appointment,post-op,2
137,thing,best,2
138,option,different,2
139,person,regular,2
140,result,great,2
141,person,informative,2
142,morning,next,2
143,op,pre,2
144,visit,first,2
145,time,several,2
146,town,best,2
147,person,happy,2
148,hour,late,2
149,minute,longer,2
150,person,tehani,2
151,person,so awesome,2
