rank,noun,adj,count
0,pepper,hot,6
1,sandwich,other,6
2,pepper,sweet,6
3,sandwich,cold,5
4,sandwich,best,5
5,bread,fresh,4
6,sub,italian,4
7,time,last,4
8,thing,good,4
9,sandwich,good,4
10,meal,quick,4
11,location,other,4
12,drink,free,4
13,time,first,4
14,option,vegetarian,4
15,bread,soft,3
16,sub,small,3
17,place,other,3
18,sub,best,3
19,sub,favorite,3
20,my,favorite,3
21,week,last,3
22,time,next,3
23,option,great,3
24,slaw,cold,3
25,soda,large,3
26,cheese,swiss,2
27,order,online,2
28,quality,good,2
29,location,different,2
30,my,hubby,2
31,staff,friendly,2
32,price,great,2
33,employee,friendly,2
34,sandwich,delicious,2
35,favorite,new,2
36,sandwich,large,2
37,option,vegan,2
38,cheese steak,philly,2
39,something,cheap,2
40,I,frequent,2
41,rock casino,red,2
42,turkey,real,2
43,cheesesteak,veggie,2
44,people,few,2
45,Thanksgiving,traditional,2
46,sub,cold,2
47,cranberry sauce,sweet,2
48,fan,big,2
49,turkey,cold,2
50,review,great,2
51,cheese,melted,2
52,kid,rude,2
53,time,long,2
54,Capriotti,other,2
55,burger,veggie,2
56,meal,best,2
57,drink,large,2
58,food,good,2
59,sandwich,hot,2
60,pastrami,hot,2
61,it,definitely worth,2
62,it,delicious,2
63,value,great,2
64,joint,other,2
65,location,retail,2
66,marketplace,disheartened,2
67,lettuce,generous,2
68,gobble,gobble,2
69,location,good,2
70,sandwich,super,2
71,option,other,2
72,option,faux-meat,2
73,sandwich spot,decent,1
74,spot,other,1
75,kind,good,1
76,nothing,special,1
77,sandwich,absolutely delicious,1
78,memory,pleasant,1
79,he,italian,1
80,wife,italian,1
81,wheat,whole,1
82,lady,friendly,1
83,lady,seem,1
84,sandwich shop,very solid,1
85,order,ready,1
86,you,best,1
87,time,third,1
88,pickle,hot,1
89,pepper,italian,1
90,pickle,italian,1
91,gentleman,helpful,1
92,way,fastest,1
93,I,so pleasantly surprised,1
94,PA.,eastern,1
95,bread,amazing,1
96,lettuce,shredded,1
97,lil sammy shop,best,1
98,food,great,1
