rank,word,frequency
1,good,803
2,other,396
3,better,318
4,great,307
5,more,291
6,bad,246
7,first,245
8,nice,226
9,small,183
10,few,181
11,same,176
12,much,166
13,last,161
14,next,145
15,new,143
16,ok,138
17,only,137
18,hot,134
19,best,133
20,little,128
21,decent,124
22,friendly,123
23,big,118
24,busy,118
25,many,117
26,cold,115
27,dry,107
28,worth,107
29,bland,103
30,overall,103
31,second,100
32,large,100
33,fried,99
34,sure,98
35,okay,97
36,chinese,97
37,special,94
38,high,90
39,different,89
40,hard,88
41,fresh,88
42,most,86
43,full,86
44,least,84
45,fine,82
46,long,81
47,wrong,80
48,slow,76
49,clean,75
50,old,74
51,huge,73
52,extra,72
53,terrible,71
54,horrible,69
55,rude,66
56,mediocre,64
57,empty,63
58,whole,63
59,real,63
60,free,62
61,super,60
62,sweet,60
63,close,59
64,happy,59
65,average,58
66,regular,58
67,korean,57
68,several,57
69,poor,57
70,delicious,56
71,quick,56
72,dirty,56
73,ready,56
74,less,56
75,expensive,55
76,own,55
77,spicy,55
78,worst,53
79,disappointing,52
80,short,51
81,tasty,48
82,salty,46
83,right,45
84,enough,43
85,authentic,42
86,fast,42
87,greasy,39
88,thin,39
89,favorite,38
90,worse,38
91,sad,38
92,excellent,37
93,disappointed,36
94,tiny,36
95,cheap,36
96,hungry,35
97,french,35
98,low,35
99,late,35
100,amazing,35
101,white,34
102,cool,34
103,deep,33
104,soggy,32
105,weird,32
106,due,32
107,awful,32
108,pleasant,32
109,typical,31
110,entire,31
111,able,31
112,open,30
113,soft,30
114,warm,30
115,thick,30
116,sorry,30
117,wait,30
118,longer,30
119,flavorless,29
120,previous,29
121,half,28
122,basic,28
123,awesome,28
124,red,28
125,tasteless,28
126,green,27
127,grilled,27
128,available,27
129,tender,27
130,young,26
131,crispy,26
132,positive,26
133,smaller,26
134,tough,26
135,single,26
136,simple,26
137,similar,25
138,mexican,25
139,perfect,24
140,medium,24
141,multiple,24
142,ridiculous,23
143,loud,23
144,difficult,23
145,attentive,23
146,watery,23
147,dark,23
148,alright,22
149,such,22
150,gross,22
151,standard,22
152,higher,22
