rank,word,frequency
1,good,2740
2,great,1862
3,nice,880
4,other,782
5,delicious,650
6,more,610
7,friendly,607
8,best,516
9,fresh,492
10,small,431
11,first,419
12,better,410
13,little,402
14,few,376
15,tasty,374
16,hot,366
17,only,332
18,next,326
19,clean,315
20,many,313
21,big,294
22,large,294
23,busy,290
24,huge,285
25,amazing,282
26,worth,276
27,fried,275
28,overall,273
29,excellent,272
30,quick,257
31,different,253
32,spicy,251
33,much,250
34,full,245
35,new,241
36,happy,240
37,most,240
38,free,239
39,bad,232
40,sweet,228
41,super,225
42,awesome,224
43,favorite,224
44,perfect,221
45,sure,220
46,special,211
47,last,210
48,fast,197
49,same,191
50,decent,185
51,korean,183
52,chinese,171
53,cheap,165
54,regular,161
55,reasonable,161
56,fun,157
57,own,153
58,attentive,134
59,close,134
60,helpful,134
61,long,133
62,least,132
63,extra,132
64,cool,130
65,able,129
66,old,126
67,local,125
68,whole,125
69,yummy,124
70,high,123
71,right,119
72,hard,118
73,crispy,116
74,second,113
75,cold,111
76,authentic,104
77,open,104
78,real,103
79,tender,101
80,typical,98
81,ok,98
82,warm,97
83,fantastic,97
84,solid,96
85,green,95
86,italian,93
87,wrong,93
88,less,92
89,simple,92
90,wonderful,92
91,slow,91
92,vietnamese,91
93,ready,90
94,pricey,87
95,juicy,87
96,several,87
97,available,85
98,soft,85
99,grilled,85
100,easy,84
101,expensive,84
102,unique,83
103,red,83
104,enough,82
105,pleasant,81
106,generous,79
107,white,79
108,mexican,79
109,vegetarian,75
110,main,73
111,short,73
112,late,73
113,fine,72
114,average,70
115,hungry,70
116,comfortable,69
117,glad,67
118,thin,66
119,dry,65
120,loud,65
121,okay,65
122,flavorful,62
123,traditional,61
124,wait,61
125,beautiful,61
126,affordable,60
127,such,60
128,cute,60
129,asian,60
130,salty,59
131,casual,59
132,standard,59
133,interesting,58
134,low,58
135,thick,58
136,quiet,58
137,french,57
138,due,54
139,bigger,53
140,rare,53
141,smaller,53
142,greasy,53
143,creamy,53
144,pretty,53
145,half,52
146,modern,51
147,strong,51
148,true,50
149,fair,50
150,sour,50
151,healthy,49
152,early,49
153,entire,48
154,japanese,47
155,usual,46
156,frozen,46
157,popular,46
158,favourite,45
159,similar,45
160,spacious,45
161,empty,44
162,normal,43
163,cozy,43
164,classic,43
165,deep,43
166,crazy,42
167,complimentary,42
168,rich,42
169,flavourful,41
170,young,41
171,american,41
172,higher,40
173,medium,40
174,moist,40
175,plain,39
176,basic,39
177,dark,39
178,top,38
179,enjoyable,38
180,pickled,37
181,consistent,37
182,cheaper,37
183,impressive,37
184,lovely,37
185,thai,37
186,polite,36
187,efficient,36
188,black,36
189,crisp,36
190,tiny,36
191,single,35
192,wide,35
193,multiple,35
194,past,35
195,indian,35
196,larger,34
197,crunchy,34
198,lucky,34
199,heavy,33
200,particular,33
201,personal,33
202,fancy,33
203,funny,33
204,various,33
205,mild,32
206,clear,32
207,longer,32
208,hidden,32
209,bland,31
210,fluffy,31
211,hawaiian,31
212,bright,31
213,certain,31
214,weird,31
215,inexpensive,30
216,professional,30
217,negative,30
218,chewy,30
219,orange,30
220,light,29
221,brown,29
222,separate,28
223,delish,28
224,general,28
225,prompt,28
226,outstanding,28
227,fabulous,28
228,honest,28
229,outdoor,28
230,courteous,27
231,massive,27
232,possible,27
233,convenient,27
234,positive,26
235,refreshing,26
236,poor,26
237,frequent,26
238,cheesy,26
239,previous,26
240,oily,26
241,dirty,26
242,middle,26
243,turkish,26
244,exceptional,25
245,odd,25
246,extensive,25
247,superb,25
248,knowledgeable,25
249,picky,25
250,priced,25
251,rude,25
252,soggy,25
253,eastern,25
254,greek,24
255,plenty,24
256,willing,24
257,famous,24
258,back,24
259,upscale,23
260,difficult,23
261,baked,23
262,live,23
263,important,23
264,signature,23
265,terrible,23
266,welcome,23
267,spanish,23
268,likely,22
269,blue,22
270,disappointing,22
271,daily,22
272,delightful,22
273,comfy,22
274,cramped,21
275,later,21
276,tough,21
277,actual,21
278,nicer,21
279,neat,21
280,spectacular,21
281,prime,20
282,steamed,20
283,giant,20
284,flat,20
285,total,20
286,sized,20
287,hearty,20
288,intimate,20
289,original,20
290,private,20
291,hush,20
292,crab,19
293,mixed,19
294,lower,19
295,closer,19
296,lol,19
297,lazy,19
298,creative,19
299,safe,19
300,incredible,18
301,complete,18
302,inside,18
303,sad,18
304,2nd,18
305,horrible,18
306,cajun,17
307,go-to,17
308,older,17
309,smooth,17
310,notch,17
311,accommodating,17
312,memorable,17
313,phenomenal,17
314,recent,17
315,careful,17
316,southern,17
317,gorgeous,17
318,alright,16
319,additional,16
320,specific,16
321,homemade,16
322,major,16
323,plentiful,16
324,south,16
325,wise,16
326,nearby,16
327,very,15
328,roasted,15
329,all-you-can-eat,15
330,buffalo,15
331,curious,15
332,quaint,15
333,savory,15
334,mediocre,15
335,1st,15
336,common,15
337,surprising,15
338,noisy,15
339,afraid,14
340,everyday,14
341,organic,14
342,wow,14
343,terrific,14
344,drunk,14
345,classy,14
346,rustic,14
347,purple,13
348,familiar,13
349,west,13
350,strange,13
351,double,13
352,easier,13
353,awkward,13
354,worse,13
355,correct,13
356,gonna,13
357,sorry,13
358,aware,13
359,minor,13
360,ridiculous,13
361,aside,13
362,sexy,13
363,entertaining,13
364,meaty,13
365,fellow,13
366,thicker,13
367,future,13
368,enormous,13
369,grand,13
370,tangy,13
371,dim,13
372,nervous,13
373,watery,12
374,tight,12
375,plastic,12
376,buttery,12
377,uncomfortable,12
378,legit,12
379,limited,12
380,personable,12
381,english,12
382,messy,12
383,third,12
384,trendy,12
385,smoked,12
386,biggest,12
387,stuffed,12
388,yelp,12
389,natural,12
390,veal,12
391,fave,11
392,serious,11
393,comparable,11
394,definite,11
395,mushy,11
396,worst,11
397,gluten-free,11
398,golden,11
399,random,11
400,gooey,11
401,east,11
402,dead,11
403,mediterranean,11
404,non,10
405,spiced,10
406,obvious,10
407,busier,10
408,unusual,10
409,cheapest,10
410,seasonal,10
411,scrumptious,10
412,polish,10
413,initial,10
414,assorted,10
415,sick,10
416,greatest,10
417,current,10
418,burnt,10
419,exact,10
420,overwhelming,10
421,doughy,10
422,thorough,10
423,bold,10
424,ginormous,10
425,lighter,10
426,adequate,10
427,lively,10
428,mongolian,10
429,subtle,10
430,afghan,10
431,meh,9
432,unfortunate,9
433,sticky,9
434,weekly,9
435,narrow,9
436,steep,9
437,continental,9
438,absolute,9
439,reliable,9
440,mashed,9
441,speedy,9
442,rough,9
443,exciting,9
444,pricier,9
445,occasional,9
446,north,9
447,nicest,9
448,romantic,9
449,exotic,9
450,mega,9
451,younger,9
452,upbeat,9
453,airy,9
454,adventurous,9
455,succulent,9
456,mint,9
457,fake,9
458,custom,9
459,seasoned,8
460,proper,8
461,edible,8
462,thinner,8
463,endless,8
464,russian,8
465,chunky,8
466,minimal,8
467,skeptical,8
468,slight,8
469,informative,8
470,accurate,8
471,sliced,8
472,hefty,8
473,attractive,8
474,kinda,8
475,former,8
476,chaotic,8
477,guilty,8
478,formal,8
479,individual,8
480,mad,8
481,impeccable,8
482,diverse,8
483,funky,8
484,numerous,8
485,public,8
486,peach,8
487,shredded,8
488,chill,8
489,calm,8
490,premium,8
491,cherry,8
492,unexpected,8
493,vast,8
494,latin,8
495,saucy,8
496,ideal,8
497,sleek,8
498,key,8
499,further,8
500,desperate,8
501,acceptable,7
502,cleanest,7
503,joint,7
504,chic,7
505,bottled,7
506,silly,7
507,blackened,7
508,sweeter,7
509,fast-food,7
510,gigantic,7
511,tacky,7
512,awful,7
513,canadian,7
514,competitive,7
515,unnecessary,7
516,understandable,7
517,damn,7
518,hilarious,7
519,front,7
520,halal,7
521,holy,7
522,tricky,7
523,tall,7
524,balanced,7
525,chopped,7
526,rainy,7
527,fragrant,7
528,runny,7
529,tad,7
530,outside,7
531,worthy,7
532,closest,7
533,luxurious,7
534,divine,7
535,extended,7
536,final,7
537,seaweed,7
538,ayce,6
539,eager,6
540,underground,6
541,eclectic,6
542,toasted,6
543,portuguese,6
544,ordinary,6
545,worthwhile,6
546,addictive,6
547,pregnant,6
548,cheerful,6
549,complex,6
550,wet,6
551,healthier,6
552,decadent,6
553,unlimited,6
554,packed,6
555,flaky,6
556,dense,6
557,crappy,6
558,unable,6
559,angry,6
560,well,6
561,upper,6
562,respectable,6
563,warmer,6
564,handmade,6
565,faster,6
566,pulled,6
567,swiss,6
568,notorious,6
569,pricy,6
570,brilliant,6
571,drunken,6
572,creepy,6
573,social,6
574,fresher,6
575,western,6
576,catfish,6
577,monthly,6
578,genuine,6
579,adult,6
580,generic,6
581,3rd,6
582,hesitant,6
583,newer,6
584,impossible,6
585,industrial,6
586,ample,6
587,square,6
588,proud,6
589,appealing,6
590,exquisite,6
591,fishy,6
592,sooner,6
593,fruity,6
594,active,6
595,pre-made,6
596,wacky,6
597,malaysian,6
598,dolsot,5
599,flavored,5
600,stellar,5
601,cuban,5
602,boring,5
603,uptown,5
604,hotter,5
605,hottest,5
606,latest,5
607,self-serve,5
608,tastier,5
609,spicier,5
610,elegant,5
611,loved,5
612,crowded,5
613,accessible,5
614,unhealthy,5
615,appropriate,5
616,festive,5
617,chilly,5
618,smallish,5
619,dependable,5
620,disappointed,5
621,shareable,5
622,knowledgable,5
623,confident,5
624,unhappy,5
625,salted,5
626,whipped,5
627,conscious,5
628,bonus,5
629,weak,5
630,retro,5
631,unsure,5
632,imperial,5
633,skimpy,5
634,reminiscent,5
635,native,5
