rank,word,count
443,although,409
444,red,406
445,might,406
446,30,402
447,yes,402
448,floor,401
449,warm,401
450,yet,400
451,bean,398
452,chip,398
453,clear,397
454,cours,397
455,soon,396
456,readi,396
457,fact,394
458,list,394
459,kitchen,392
460,cost,391
461,crispi,391
462,saturday,391
463,suggest,387
464,basic,387
465,bite,385
466,short,383
467,often,383
468,ingredi,383
469,expens,382
470,oil,379
471,greet,378
472,rate,377
473,consist,377
474,etc,375
475,slow,375
476,min,374
477,season,373
478,guess,372
479,life,372
480,white,371
481,pedicur,370
482,ad,369
483,rememb,368
484,card,368
485,wine,368
486,recent,367
487,mention,364
488,buffet,363
489,crowd,363
490,past,361
491,pack,361
492,typic,360
493,pleasant,358
494,pretzel,357
495,pull,356
496,poor,356
497,believ,356
498,consid,355
499,purchas,355
500,friday,355
501,burrito,355
502,plenti,354
503,easi,354
504,seen,353
505,glass,352
506,tender,352
507,bacon,351
508,head,350
509,trip,350
510,lack,350
511,question,349
512,main,349
513,number,349
514,base,349
515,pancak,348
516,kept,347
517,tomato,346
518,relax,344
519,authent,344
520,reserv,343
521,prepar,343
522,rest,343
523,sunday,342
524,stuff,342
525,rather,342
526,weekend,341
527,compar,341
528,sign,340
529,serious,339
530,garlic,339
531,twice,338
532,space,338
533,glad,338
534,poutin,338
535,avail,337
536,normal,337
537,simpl,337
538,choos,334
539,ate,333
540,rang,332
541,smell,331
542,yummi,331
543,rib,330
544,pepper,329
545,hit,328
546,exact,327
547,bartend,327
548,heard,324
549,plan,324
550,strip,322
551,welcom,322
552,color,321
553,immedi,320
554,addit,318
555,stand,315
556,knew,314
557,appreci,313
558,inform,313
559,cup,313
560,request,312
561,salsa,312
562,thin,310
563,sometim,310
564,product,309
565,interest,308
566,box,308
567,grab,308
568,sausag,308
569,anyway,307
570,knowledg,306
571,7,305
572,man,305
573,unfortun,304
574,note,303
575,within,301
576,incred,301
577,crust,300
578,pasta,299
579,veget,298
580,soft,298
581,gone,298
582,taken,295
583,crave,295
584,certain,294
585,bland,293
586,chocol,292
587,along,291
588,cover,290
589,mexican,290
590,togeth,287
591,liter,286
592,earli,285
593,replac,285
594,longer,285
595,pass,285
596,empti,285
597,dollar,284
598,across,283
599,standard,283
600,wall,282
601,follow,281
602,chair,281
603,complaint,280
604,book,280
605,pain,280
606,cafe,280
607,behind,279
608,state,279
609,salmon,278
610,rush,278
611,citi,278
612,deliveri,278
613,joint,277
614,due,277
615,general,276
616,desk,276
617,prefer,276
618,deliv,276
619,dress,275
620,chef,275
621,excit,275
622,drop,274
623,toast,274
624,daughter,274
625,birthday,273
626,repair,272
627,continu,271
628,wrap,270
629,brown,270
630,dip,270
631,window,270
632,mac,269
633,8,269
634,possibl,269
635,ayc,268
636,bottl,267
637,suppos,266
638,answer,265
639,truck,265
640,process,265
641,boyfriend,264
642,satisfi,264
643,valu,264
644,wow,263
645,spend,263
646,dirti,263
647,sour,263
648,vietnames,262
649,middl,261
650,vegetarian,261
651,write,261
652,forward,260
653,pictur,258
654,spice,257
655,complain,257
656,refil,256
657,bun,256
658,date,255
659,face,252
660,save,252
661,five,251
662,four,251
663,butter,250
664,fruit,250
665,pickl,250
666,low,250
667,speak,249
668,accommod,249
669,sad,249
670,thick,249
671,salti,248
672,rare,246
673,updat,245
674,hungri,244
675,apolog,244
676,juici,244
677,sorri,242
678,schedul,241
679,salt,241
680,bought,241
681,properti,241
682,loud,240
683,hear,237
684,mushroom,237
685,italian,237
686,abov,237
687,ton,237
688,upon,237
689,anywher,237
690,seafood,236
691,idea,235
692,build,235
693,crab,234
694,chanc,233
695,vegan,233
696,sent,232
697,sub,232
698,allow,232
699,discount,232
700,vehicl,232
701,attitud,231
702,french,231
703,apart,231
704,guest,231
705,sale,230
706,spa,230
707,mi,230
708,hospit,230
709,charlott,229
710,word,228
711,ambianc,228
712,brisket,228
713,patient,227
714,origin,227
715,downtown,227
716,obvious,226
717,mouth,226
718,pot,226
719,improv,226
720,lamb,226
721,cake,225
722,level,225
723,las,225
724,pie,225
725,pricey,224
726,eaten,224
727,bathroom,224
728,sampl,224
729,corn,223
730,mom,223
731,phoenix,223
732,gravi,223
733,contact,222
734,market,222
735,establish,222
736,vibe,222
737,prompt,221
738,uniqu,221
739,touch,221
740,toronto,220
741,particular,219
742,bag,219
743,pita,219
744,la,219
745,curri,218
746,conveni,218
747,combo,218
748,slight,217
749,medium,217
750,avoid,217
751,beyond,216
752,son,216
753,asian,216
754,smile,216
755,singl,215
756,frozen,215
757,realiz,215
758,detail,214
759,figur,214
760,lol,214
761,juic,214
762,wast,214
763,pittsburgh,214
764,tv,213
765,lettuc,213
766,generous,213
767,cocktail,212
768,denni,212
769,forgot,212
770,chain,212
771,view,212
772,cash,210
773,simpli,210
774,smoke,210
775,blow,210
776,avocado,209
777,warranti,208
778,afford,208
779,neighborhood,208
780,limit,208
781,de,208
782,step,207
783,airport,207
784,bottom,206
785,wors,206
786,bake,205
787,sell,205
788,doctor,205
789,solid,205
790,matter,203
791,spent,203
792,entre,203
793,greasi,203
794,unless,201
795,case,201
796,meet,201
797,team,201
798,hate,200
799,truli,199
800,stick,199
801,tonight,198
802,agre,198
803,100,197
804,correct,197
805,mazda,197
806,situat,196
807,banh,196
808,hibachi,196
809,futur,195
810,bother,195
811,caus,195
812,black,195
813,sort,195
814,import,195
815,previous,194
816,poke,194
817,break,193
818,respons,193
819,club,192
820,goe,191
821,bed,191
822,present,190
823,yogurt,190
824,buck,190
825,outstand,190
826,favourit,190
827,nacho,189
828,treatment,189
829,remind,189
830,hold,189
831,stuf,189
832,bone,188
833,aw,188
834,sport,188
835,mediocr,188
836,gotten,188
837,listen,188
838,mine,188
839,steam,187
840,south,187
841,milk,187
842,young,186
843,mess,186
844,woman,186
845,tradit,186
846,cute,186
847,chose,186
848,posit,185
849,shot,185
850,credit,185
851,tofu,185
852,deep,185
853,broth,184
854,frequent,183
855,tuna,183
856,yesterday,183
857,tint,183
858,teriyaki,182
859,shoot,182
860,wellish,181
861,hang,181
862,afternoon,181
863,true,181
864,lobster,180
865,facial,180
866,similar,180
867,handl,180
868,onlin,180
869,fee,180
870,multipl,180
871,..,179
872,boy,179
873,sound,179
874,polish,179
875,interior,179
876,imagin,178
877,coconut,178
878,instal,178
879,9,178
880,negat,177
881,patio,177
882,12,176
883,appar,176
884,n,175
885,effici,175
886,ahead,175
887,loung,175
888,tech,174
889,polit,174
890,per,174
891,school,174
892,fire,174
893,soda,174
894,email,173
895,hostess,173
896,weird,173
897,world,173
898,yum,172
899,contain,172
900,suck,172
901,post,172
902,enter,172
903,patti,172
904,spring,171
905,surgeri,171
906,california,171
907,event,171
908,brunch,170
909,environ,170
910,gem,169
911,bare,169
912,babi,169
913,cashier,169
914,specif,169
915,thai,169
916,send,168
917,45,168
918,manicur,168
919,healthi,167
920,ridicul,167
921,north,167
922,heat,167
923,conge,167
924,modern,166
925,pop,166
926,bigger,165
927,50,165
928,booth,165
929,concern,165
930,mistak,165
931,dark,165
932,combin,165
933,machin,165
934,fixler,165
935,corner,164
936,whatev,164
937,joe,164
938,danc,164
939,die,164
940,smaller,163
941,flower,163
942,spencer,163
943,beat,162
944,trust,162
945,plain,162
946,comment,162
947,travel,162
948,dentist,162
949,tuesday,161
950,thorough,161
951,opinion,161
952,overpr,161
953,worker,161
954,sashimi,161
955,key,161
956,decis,160
957,steakhous,160
958,easili,160
959,elsewher,160
960,paper,160
961,member,159
962,40,159
963,forget,159
964,classic,158
965,patron,158
966,otherwis,158
967,strong,158
968,torta,158
969,despit,157
970,quiet,157
971,begin,157
972,express,157
973,dealership,157
974,michell,156
975,met,156
976,american,156
977,skin,155
978,melt,155
979,none,155
980,higher,154
981,25,154
982,hummus,154
983,groceri,153
984,crazi,153
985,rock,153
986,fall,153
987,remov,153
988,pm,153
989,gyro,152
990,bunch,152
991,learn,152
992,lie,152
993,duck,152
994,secur,152
995,comedi,152
996,separ,151
997,round,151
998,annoy,151
999,pour,151
1000,heart,151
1001,shuttl,151
1002,system,150
1003,appear,150
1004,monday,150
1005,experienc,149
1006,center,149
1007,kinda,149
1008,tini,149
1009,disgust,149
1010,syrup,148
1011,alon,147
1012,somewher,147
1013,textur,146
1014,assist,146
1015,spoke,146
1016,fanci,146
1017,gel,146
1018,english,145
1019,becom,145
1020,vet,145
1021,summer,144
1022,refresh,144
1023,funni,144
1024,mall,144
1025,cooki,143
1026,result,143
1027,homemad,143
1028,burnt,143
1029,platter,142
1030,caramel,142
1031,casual,142
1032,snack,142
1033,doubl,142
1034,east,142
1035,tj,141
1036,diner,141
1037,nearbi,141
1038,tapa,141
1039,proper,140
1040,anymor,140
1041,honey,140
1042,gross,139
1043,worri,138
1044,forev,138
1045,procedur,138
1046,confus,138
1047,dont,138
1048,stylist,138
1049,girlfriend,137
1050,tough,137
1051,mark,137
1052,moment,137
1053,wax,137
1054,major,136
1055,pet,136
1056,whenev,135
1057,push,135
1058,madison,135
1059,brand,135
1060,orang,135
1061,test,134
1062,section,134
1063,difficult,134
1064,lost,134
1065,stori,133
1066,direct,133
1067,accept,133
1068,load,132
1069,courteous,132
1070,coupon,132
1071,chop,132
1072,mile,132
1073,fit,132
1074,websit,132
1075,rent,132
1076,kabob,132
1077,dr,131
1078,hidden,131
1079,road,131
1080,prior,131
1081,kick,131
1082,soggi,131
1083,internet,131
1084,kimchi,130
1085,wear,130
1086,casino,130
1087,design,130
1088,student,130
1089,creami,130
1090,sugar,130
1091,practic,129
1092,oliv,129
1093,straight,129
1094,besid,129
1095,popular,128
1096,screen,128
1097,station,128
1098,folk,128
1099,chicago,128
1100,packag,127
1101,ticket,127
1102,search,127
1103,turkey,127
1104,act,127
1105,flat,127
1106,convers,126
1107,cancel,126
1108,app,126
1109,starbuck,126
1110,mother,125
1111,chill,124
1112,opt,124
1113,delight,124
1114,roast,124
1115,relat,124
1116,admit,124
1117,support,124
1118,refus,124
1119,train,124
1120,q,124
1121,soy,123
1122,refund,123
1123,lemon,123
1124,chili,123
1125,sangria,123
1126,dee,123
1127,current,122
1128,deserv,122
1129,valley,122
1130,leas,122
1131,ignor,121
1132,respect,121
1133,broken,121
1134,hawaiian,120
1135,sister,120
1136,joke,120
1137,organ,119
1138,drove,119
1139,cuisin,119
1140,takeout,118
1141,photo,118
1142,cheaper,118
1143,technician,118
1144,entertain,118
1145,montreal,118
1146,24,117
1147,repeat,117
1148,tax,117
1149,constant,117
1150,carri,117
1151,assum,117
1152,depart,117
1153,spacious,117
1154,oyster,116
1155,suit,116
1156,crisp,116
1157,fabul,116
1158,occas,116
1159,safe,116
1160,scoop,116
1161,lucki,116
1162,split,116
1163,donut,115
1164,warn,115
1165,im,115
1166,pair,115
1167,thru,115
1168,foot,115
1169,throw,115
1170,ring,114
1171,heavi,114
1172,az,114
1173,hash,114
1174,cherri,114
1175,ginger,114
1176,colon,114
1177,filet,113
1178,doubt,113
1179,perhap,113
1180,fat,113
1181,sold,113
1182,board,113
1183,sick,113
1184,par,113
1185,chewi,113
1186,themselv,113
1187,notch,113
1188,indian,113
1189,barney,113
1190,belli,112
1191,thursday,112
1192,11,112
1193,lasik,112
1194,mood,112
1195,desert,112
1196,complimentari,112
1197,quot,112
1198,condit,112
1199,feet,112
1200,mainten,112
1201,plaza,111
1202,aaron,111
1203,pressur,111
1204,paint,111
1205,mayo,110
1206,alright,110
1207,edg,110
1208,sens,110
1209,catch,110
1210,meatbal,110
1211,zero,110
1212,upset,110
1213,facil,110
1214,eyebrow,110
1215,tempura,110
1216,groupon,110
1217,invit,109
1218,tap,109
1219,leg,109
1220,lower,109
1221,finger,109
1222,match,109
1223,throughout,109
1224,shine,108
1225,describ,108
1226,daili,108
1227,gift,108
1228,ran,108
1229,closer,108
1230,regist,108
1231,beverag,108
1232,proceed,108
1233,various,108
1234,ok.,107
1235,air,107
1236,host,107
1237,smooth,107
1238,yeah,107
1239,tortilla,107
1240,catfish,107
1241,initi,106
1242,na,106
1243,balanc,106
1244,u,106
1245,larger,106
1246,everywher,106
1247,arizona,106
1248,chat,106
1249,six,106
1250,nurs,106
1251,asid,106
1252,laugh,106
1253,third,105
1254,heaven,105
1255,nois,105
1256,japanes,105
1257,biscuit,105
1258,ambienc,104
1259,term,104
1260,stomach,104
1261,celebr,104
1262,burn,104
1263,damn,104
1264,shoe,104
1265,perform,104
1266,version,104
1267,parent,104
1268,skip,104
1269,carn,104
1270,wednesday,103
1271,sesam,103
1272,attempt,103
1273,wide,103
1274,go-to,103
1275,cozi,103
1276,raw,103
1277,garden,103
1278,le,103
1279,shred,102
1280,shock,102
1281,attend,102
1282,texa,102
1283,depend,102
1284,shawarma,102
1285,falafel,102
1286,turkish,102
1287,vision,101
1288,account,101
1289,blue,101
1290,class,101
1291,asada,101
1292,bao,101
1293,thread,101
1294,crunchi,100
1295,prime,100
1296,outback,100
1297,god,100
1298,stock,100
1299,promis,100
1300,receipt,100
1301,somewhat,100
1302,jack,99
1303,pad,99
1304,needless,99
1305,discov,99
1306,ta,99
1307,fault,99
1308,arrang,99
1309,mustard,99
1310,julep,99
1311,overcook,98
1312,approach,98
1313,creat,98
1314,west,98
1315,pan,98
1316,known,97
1317,odd,97
1318,leak,97
1319,greek,97
1320,fail,97
1321,requir,97
1322,refer,97
1323,wood,97
1324,trader,96
1325,menus,96
1326,mash,96
1327,mini,96
1328,queen,96
1329,2nd,96
1330,stuck,96
1331,regret,96
1332,plastic,96
1333,spinach,95
1334,rich,95
1335,broccoli,95
1336,carrot,95
1337,pedi,95
1338,children,95
1339,leftov,95
1340,frustrat,95
1341,client,95
1342,tvs,95
1343,uncomfort,95
1344,et,95
1345,eastern,95
1346,voodoo,95
1347,calamari,94
1348,craft,94
1349,earlier,94
1350,toward,94
1351,altern,94
1352,outdoor,94
1353,brow,94
1354,concept,94
1355,highlight,94
1356,messag,93
1357,bodi,93
1358,stone,93
1359,switch,93
1360,york,93
1361,confirm,93
1362,grit,93
1363,unit,93
1364,scallop,92
1365,southern,92
1366,feed,92
1367,35,92
1368,hubbi,92
1369,bright,92
1370,elev,92
1371,ball,92
1372,ground,92
1373,jamburrito,92
1374,meh,91
1375,cowork,91
1376,hey,91
1377,age,90
1378,specialti,90
1379,advis,90
1380,flight,90
1381,oxtail,90
1382,extens,90
1383,sleep,90
1384,appl,90
1385,fare,90
1386,heal,90
1387,con,90
1388,women,90
1389,natur,90
1390,tenant,90
1391,auto,90
1392,pub,89
1393,alcohol,89
1394,yell,89
1395,lover,89
1396,trash,89
1397,colleg,89
1398,art,89
1399,ham,89
1400,rebel,89
1401,stress,88
1402,calm,88
1403,peac,88
1404,reach,88
1405,skill,88
1406,wed,88
1407,ass,88
1408,unprofession,88
1409,advertis,88
1410,skewer,88
1411,squid,87
1412,strawberri,87
1413,mild,87
1414,older,87
1415,overwhelm,87
1416,1/2,87
1417,respond,87
1418,picki,87
1419,grand,87
1420,brew,87
1421,shape,86
1422,spectacular,86
1423,men,86
1424,towel,86
1425,lobbi,86
1426,yoshinoya,86
1427,applianc,86
1428,luck,85
1429,tend,85
1430,crack,85
1431,16,85
1432,chunk,85
1433,movi,85
1434,hole,85
1435,dosa,85
1436,signatur,84
1437,promot,84
1438,whether,84
1439,cajun,84
1440,14,84
1441,stir,84
1442,hell,84
1443,individu,84
1444,favor,84
1445,wifi,84
1446,crap,84
1447,king,84
1448,banana,84
1449,mango,84
1450,song,84
1451,centurylink,84
1452,claim,83
1453,inexpens,83
1454,rave,83
1455,bonus,83
1456,basket,83
1457,ten,83
1458,moist,83
1459,inspect,83
1460,awhil,83
1461,acknowledg,83
1462,hesit,83
1463,bewar,83
1464,giant,82
1465,ruin,82
1466,hoagi,82
1467,display,82
1468,health,82
1469,knock,82
1470,goat,81
1471,nobodi,81
1472,dad,81
1473,fluffi,81
1474,cone,81
1475,omg,81
1476,bf,81
1477,mike,81
1478,lose,81
1479,entranc,81
1480,rais,81
1481,genuin,81
1482,er,81
1483,tahiti,81
1484,gentleman,80
