rank,word,frequency
1,great,3293
2,good,2118
3,best,1525
4,friendly,1261
5,amazing,1074
6,delicious,975
7,nice,949
8,other,801
9,fresh,686
10,more,677
11,first,670
12,awesome,623
13,new,617
14,happy,577
15,excellent,508
16,clean,506
17,super,467
18,better,461
19,many,452
20,next,444
21,few,426
22,favorite,422
23,perfect,414
24,little,411
25,helpful,378
26,free,374
27,last,336
28,wonderful,334
29,much,333
30,quick,326
31,worth,321
32,hot,321
33,sweet,312
34,fantastic,308
35,huge,288
36,professional,284
37,sure,283
38,big,276
39,different,275
40,special,270
41,small,266
42,full,260
43,large,254
44,able,253
45,tasty,252
46,only,250
47,most,242
48,bad,240
49,comfortable,228
50,fast,221
51,busy,221
52,beautiful,221
53,long,220
54,old,213
55,same,208
56,fried,204
57,regular,202
58,spicy,192
59,cool,192
60,own,187
61,reasonable,183
62,whole,182
63,right,176
64,easy,175
65,local,174
66,hard,172
67,high,171
68,attentive,169
69,knowledgeable,167
70,cheap,159
71,glad,154
72,overall,153
73,entire,151
74,real,151
75,least,150
76,several,149
77,extra,148
78,fun,146
79,yummy,146
80,open,144
81,second,143
82,close,139
83,wrong,137
84,warm,133
85,outstanding,126
86,authentic,123
87,ready,116
88,such,116
89,incredible,115
90,mexican,114
91,crispy,112
92,soft,111
93,cold,107
94,less,105
95,simple,104
96,tender,99
97,available,98
98,honest,98
99,top,97
100,unique,96
101,short,94
102,fair,93
103,chinese,87
104,italian,85
105,white,84
106,efficient,84
107,late,83
108,flavorful,83
109,pleasant,82
110,enough,82
111,juicy,81
112,lovely,81
113,expensive,80
114,courteous,79
115,healthy,77
116,grilled,76
117,vegetarian,75
118,cute,73
119,fabulous,73
120,single,72
121,vietnamese,72
122,thick,72
123,modern,72
124,affordable,71
125,accommodating,71
126,red,70
127,green,70
128,possible,70
129,main,70
130,generous,70
131,exceptional,68
132,favourite,68
133,notch,68
134,due,67
135,korean,67
136,true,67
137,past,65
138,low,64
139,thin,64
140,thorough,62
141,decent,61
142,fine,61
143,polite,61
144,rare,59
145,personal,59
146,usual,57
147,pricey,56
148,creamy,55
149,phenomenal,54
150,grateful,54
151,young,53
152,hidden,53
153,gentle,53
154,crazy,53
155,nervous,52
156,absolute,52
157,convenient,52
158,early,52
159,hungry,50
160,deep,50
161,dental,50
162,negative,49
163,french,49
164,hawaiian,48
165,multiple,48
166,typical,48
167,difficult,48
168,casual,47
169,consistent,47
170,spacious,47
171,solid,47
172,half,46
173,longer,46
174,wait,46
175,dry,46
176,important,46
177,closer,46
178,funny,45
179,bigger,44
180,positive,44
181,normal,44
182,back,44
183,terrific,43
184,classic,43
185,welcome,43
186,interesting,43
187,smooth,43
188,safe,42
189,wide,42
190,various,41
191,turkish,41
192,picky,40
193,outdoor,40
194,clear,40
195,traditional,40
196,middle,40
197,frequent,39
198,delish,39
199,cozy,39
200,particular,39
201,flat,39
202,similar,38
203,personable,38
204,happier,38
205,loud,38
206,complimentary,38
207,higher,38
208,prompt,37
209,asian,37
210,sorry,37
211,compassionate,37
212,calm,36
213,salty,36
214,ok,36
215,previous,36
216,nicest,36
217,dark,36
218,greek,36
219,refreshing,36
220,peaceful,35
221,lucky,35
222,enjoyable,35
223,separate,35
224,empty,34
225,easier,33
226,quiet,33
227,frozen,33
228,actual,33
229,popular,33
230,live,33
231,slow,33
232,gorgeous,33
233,eastern,33
234,extensive,32
235,weird,32
236,cheaper,32
237,pretty,32
238,smaller,32
239,everyday,32
240,informative,32
241,knowledgable,32
242,original,32
243,sad,32
244,strong,32
245,medium,31
246,rich,31
247,thankful,31
248,heavy,31
249,greasy,31
250,crunchy,30
251,general,30
252,willing,30
253,upscale,30
254,recent,30
255,spectacular,29
256,baked,29
257,inexpensive,29
258,final,29
259,brown,29
260,superb,29
261,painless,28
262,front,28
263,light,28
264,go-to,27
265,black,27
266,fluffy,27
267,crisp,27
268,natural,27
269,later,26
270,larger,26
271,minor,26
272,average,26
273,east,26
274,cherry,26
275,complete,26
276,horrible,25
277,patient,25
278,tough,25
279,standard,25
280,specific,25
281,american,25
282,afraid,25
283,sour,25
284,southern,25
285,delightful,24
286,1st,24
287,basic,24
288,bright,24
289,future,24
290,fancy,24
291,common,24
292,major,24
293,plain,24
294,orange,24
295,rental,24
296,sensitive,23
297,legit,23
298,impressive,23
299,plenty,23
300,beloved,23
301,comfy,23
302,genuine,23
303,impeccable,22
304,total,22
305,lower,22
306,giant,22
307,lol,22
308,mild,22
309,loyal,22
310,pushy,22
311,wow,22
312,2nd,22
313,cheesy,22
314,classy,21
315,worst,21
316,rude,21
317,older,21
318,moist,21
319,priced,21
320,tiny,21
321,cajun,21
322,poor,21
323,flavourful,21
324,chewy,21
325,inside,20
326,okay,20
327,thai,20
328,daily,20
329,painful,20
330,smart,20
331,dirty,20
332,unbelievable,20
333,indian,20
334,japanese,20
335,skeptical,20
336,stuffed,20
337,prime,19
338,signature,19
339,creative,19
340,timely,19
341,stellar,19
342,terrible,19
343,biggest,19
344,private,19
345,yelp,19
346,healthier,19
347,diverse,19
348,reliable,19
349,curly,19
350,third,18
351,exact,18
352,outside,18
353,sick,18
354,homemade,18
355,careful,18
356,swiss,18
357,certain,18
358,blue,18
359,current,18
360,online,18
361,uncomfortable,18
362,ample,18
363,south,18
364,double,17
365,familiar,17
366,relaxing,17
367,hesitant,17
368,straight,17
369,very,17
370,further,17
371,intimate,17
372,respectful,17
373,massive,17
374,trendy,17
375,savory,17
376,roasted,16
377,latest,16
378,confident,16
379,minimal,16
380,correct,16
381,worse,16
382,plentiful,16
383,proud,16
384,tight,16
385,fortunate,16
386,aware,16
387,additional,16
388,medical,16
389,key,16
390,sexy,16
391,nearby,16
392,serious,16
393,pickled,16
394,lebanese,16
395,yellow,15
396,likely,15
397,gonna,15
398,upbeat,15
399,peach,15
400,famous,15
401,neat,15
402,weekly,15
403,memorable,15
404,west,15
405,gracious,15
406,mint,15
407,mediterranean,15
408,hush,15
409,seasonal,14
410,numerous,14
411,custom,14
412,necessary,14
413,steamed,14
414,proper,14
415,soothing,14
416,damn,14
417,welcoming,14
418,hilarious,14
419,ridiculous,14
420,repeat,14
421,burnt,14
422,elegant,13
423,mediocre,13
424,facial,13
425,initial,13
426,entertaining,13
427,individual,13
428,like,13
429,obvious,13
430,golden,13
431,greatest,13
432,competent,13
433,enormous,13
434,insane,13
435,thoughtful,13
436,physical,13
437,lighter,13
438,latin,13
439,responsive,13
440,awkward,13
441,scrumptious,12
442,definite,12
443,random,12
444,aside,12
445,buffalo,12
446,closest,12
447,smoked,12
448,mixed,12
449,ideal,12
450,floral,12
451,drunk,12
452,bland,12
453,rough,12
454,wise,12
455,philly,12
456,sloppy,12
457,awsome,12
458,competitive,12
459,coolest,12
460,chic,11
461,strange,11
462,highest,11
463,attractive,11
464,scary,11
465,magical,11
466,mashed,11
467,impossible,11
468,noisy,11
469,delicate,11
470,divine,11
471,tall,11
472,slight,11
473,furry,11
474,superior,11
475,soggy,11
476,spotless,11
477,relaxed,11
478,extended,11
479,rustic,11
480,unexpected,11
481,gigantic,11
482,crab,10
483,pink,10
484,considerate,10
485,needed,10
486,limited,10
487,pure,10
488,talented,10
489,organic,10
490,flawless,10
491,sized,10
492,quaint,10
493,representative,10
494,younger,10
495,grand,10
496,kinda,10
497,lazy,10
498,empathetic,10
499,eclectic,10
500,cheerful,10
501,bonus,10
502,carne,10
503,unfortunate,10
504,holy,10
505,former,10
506,magnificent,10
507,adorable,10
508,immaculate,10
509,dead,10
510,broken,10
511,adult,10
512,sunny,10
513,hearty,9
514,monthly,9
515,faster,9
516,nicer,9
517,pricier,9
518,house-made,9
519,immediate,9
520,unnecessary,9
521,appreciative,9
522,hardest,9
523,salami,9
524,chill,9
525,vintage,9
526,toasted,9
527,severe,9
528,female,9
529,wooden,9
530,largest,9
531,surprising,9
532,friendliest,9
533,comparable,9
534,marinated,9
535,polish,9
536,sanitary,9
537,veal,9
538,ionic,9
539,smoother,8
540,english,8
541,disappointing,8
542,artificial,8
543,sliced,8
544,cheapest,8
545,present,8
546,ecstatic,8
547,acceptable,8
548,shredded,8
