rank,word,indicativeness
1,good,0.00228266775562068
2,great,0.0009368863794892785
3,nice,0.0005805627502469828
4,delicious,0.0005515077495150924
5,tasty,0.0005207994169837916
6,fresh,0.00033255178218677373
7,small,0.00030801532619528234
8,spicy,0.0002647982311093959
9,little,0.00024357746444413558
10,huge,0.00024179755767123127
11,fried,0.0002350996942885139
12,korean,0.00023232106978559615
13,only,0.00022840615806943486
14,hot,0.00022288024511755758
15,overall,0.0002186880223520506
16,large,0.00020072385051664866
17,busy,0.00018736704664175008
18,fun,0.00017440437719902236
19,quick,0.00016757060348174485
20,big,0.00016282705445754594
21,reasonable,0.00015832246244882556
22,fast,0.00015748953058733123
23,friendly,0.0001471154545248465
24,solid,0.00014622883150085825
25,excellent,0.00013944452888386036
26,yummy,0.00013214400831320012
27,most,0.00012623358513194172
28,chinese,0.00012571511841314765
29,perfect,0.00012134153301105327
30,other,0.0001186501846575655
31,worth,0.00011218515184551562
32,full,0.00010952470566278595
33,attentive,0.00010895420320996813
34,favorite,0.00010806059282138205
35,italian,0.00010739782253655428
36,different,0.00010355260947727106
37,clean,0.00010337706231254599
38,typical,9.682381954710884e-05
39,cheap,9.573247220538875e-05
40,juicy,9.541333567624018e-05
41,crispy,9.403124343617775e-05
42,pricey,9.289538680033297e-05
43,unique,9.254809281326586e-05
44,sweet,9.102368283703062e-05
45,vietnamese,8.768237632525704e-05
46,local,8.637557057273039e-05
47,generous,8.629040929176459e-05
48,more,8.586411259882751e-05
49,green,8.135363798690599e-05
50,casual,8.047453558389699e-05
51,tender,7.696478401436382e-05
52,vegetarian,7.351883055949372e-05
53,free,7.19811606479329e-05
54,authentic,6.930299057690278e-05
55,quiet,6.531036227322047e-05
56,regular,6.472632514075535e-05
57,grilled,6.427874311232264e-05
58,japanese,6.405821031066114e-05
59,rich,6.391077418815205e-05
60,moist,6.380816601105359e-05
61,asian,6.337765187620922e-05
62,creamy,6.26423033515943e-05
63,pretty,6.176662444118156e-05
64,few,6.042041654884728e-05
65,traditional,6.003035277732206e-05
66,red,5.9919862421586436e-05
67,cool,5.95990263988274e-05
68,strong,5.861591755384724e-05
69,many,5.847719156902515e-05
70,pickled,5.788606844670653e-05
71,flavourful,5.537349936457486e-05
72,pleasant,5.4910527944941726e-05
73,cozy,5.483957436276806e-05
74,affordable,5.456276389184159e-05
75,decent,5.033202079699478e-05
76,interesting,4.925549502522451e-05
77,spacious,4.9206149327392814e-05
78,warm,4.877804854622412e-05
79,spanish,4.810292841268413e-05
80,thai,4.8024485394096946e-05
81,popular,4.7435276020233764e-05
82,mild,4.57207139181694e-05
83,own,4.4696802257688355e-05
84,impressive,4.4397621629249935e-05
85,enjoyable,4.4219694348883794e-05
86,massive,4.3793699499453944e-05
87,frozen,4.341923983326714e-05
88,standard,4.3400465625468e-05
89,sour,4.329613891744959e-05
90,wait,4.2768766317963764e-05
91,fancy,4.255739659138911e-05
92,close,4.241597698380179e-05
93,complimentary,4.2071626916053945e-05
94,cute,4.062293416013411e-05
95,classic,4.041658560528496e-05
96,soft,3.9986640418890275e-05
97,loud,3.821747122001568e-05
98,flavorful,3.800262981675788e-05
99,smaller,3.7494612937949864e-05
100,special,3.7253820944548e-05
101,modern,3.670705537428858e-05
102,american,3.660290546824407e-05
103,bigger,3.539775523334166e-05
104,fluffy,3.493680531716822e-05
105,hearty,3.465169017831412e-05
106,sure,3.4555225257120774e-05
107,simple,3.455251353784715e-05
108,main,3.43786469107786e-05
109,crisp,3.367286387180091e-05
110,indian,3.2933774476683006e-05
111,right,3.2447405993339584e-05
112,favourite,3.2221794559166e-05
113,famous,3.18832449434533e-05
114,superb,3.1627904962906445e-05
115,enough,3.161381729427535e-05
116,hungry,3.156093412979996e-05
117,crunchy,3.141116782628988e-05
118,hush,3.137496170744943e-05
119,mexican,3.067222314649726e-05
120,delightful,2.961996264888833e-05
121,wide,2.9102242042253807e-05
122,all-you-can-eat,2.8958019654693495e-05
123,cheesy,2.8806460608828902e-05
124,bright,2.8410610039861336e-05
125,super,2.8140879020108297e-05
126,cramped,2.801560008631424e-05
127,neat,2.801560008631424e-05
128,inexpensive,2.7669877210717316e-05
129,delish,2.697919271546371e-05
130,light,2.6152899340244294e-05
131,french,2.5851805000192757e-05
132,purple,2.576835609863681e-05
133,early,2.572406670114489e-05
134,steamed,2.548543611282899e-05
135,available,2.5414298446255693e-05
136,healthy,2.5077881386019095e-05
137,tangy,2.4522379901696917e-05
138,plenty,2.404092966631654e-05
139,ginormous,2.3910307822850048e-05
140,prompt,2.3882514835628027e-05
141,crazy,2.3825820259276368e-05
142,intimate,2.3688390895047794e-05
143,rare,2.356558837780588e-05
144,surprising,2.326934022567471e-05
145,quaint,2.326934022567471e-05
146,eastern,2.3188275839087908e-05
147,priced,2.3188275839087908e-05
148,refreshing,2.3155379599588258e-05
149,mixed,2.2990885486188993e-05
150,cheaper,2.2787959223596058e-05
151,open,2.2612459801048333e-05
152,larger,2.260352816124617e-05
153,comfy,2.2579640524233596e-05
154,hidden,2.2505289874601094e-05
155,creative,2.2109847174441897e-05
156,nicer,2.185167313448282e-05
157,slow,2.1550065835275374e-05
158,outdoor,2.093695588994053e-05
159,signature,2.0928638870883717e-05
160,next,2.083942692476616e-05
161,consistent,2.0785077555347234e-05
162,rustic,2.0625225964031405e-05
163,plain,2.0302470497091286e-05
164,daily,2.0187446464735355e-05
165,oily,2.016482002142562e-05
166,homemade,2.0023284363913602e-05
167,busier,1.9724027987477752e-05
168,sized,1.9498413653787668e-05
169,mega,1.9474726718127194e-05
170,chunky,1.9439049944548925e-05
171,extensive,1.941725914357787e-05
172,buffalo,1.934427117790414e-05
173,cajun,1.8965902250040737e-05
174,fave,1.894521905080624e-05
175,gluten-free,1.894521905080624e-05
176,various,1.8484604143804253e-05
177,exciting,1.8135900718996074e-05
178,lucky,1.7915521590791687e-05
179,true,1.7731860755121347e-05
180,orange,1.758751651176125e-05
181,veal,1.739286488970153e-05
182,live,1.7198213766736873e-05
183,giant,1.7166881264125874e-05
184,succulent,1.688351263625341e-05
185,glad,1.686077390745802e-05
186,sleek,1.6557511000496672e-05
187,fast-food,1.643229610198159e-05
188,hawaiian,1.635382390274752e-05
189,subtle,1.621988870350146e-05
190,odd,1.5892895921156134e-05
191,definite,1.5778179617404955e-05
192,crab,1.5670472132927064e-05
193,festive,1.5582563918232573e-05
194,formal,1.5279212368911194e-05
195,thicker,1.526575525329669e-05
196,meaty,1.526575525329669e-05
197,heavy,1.5264475737356544e-05
198,bold,1.5167903365755926e-05
199,afghan,1.5167903365755926e-05
200,certain,1.5068391798470226e-05
201,wacky,1.4977375896357346e-05
202,respectable,1.4977375896357346e-05
203,occasional,1.4597899833151314e-05
204,upscale,1.4403599991609953e-05
205,enormous,1.4403230304414451e-05
206,sexy,1.4403230304414451e-05
207,south,1.419044249690535e-05
208,go-to,1.4178095478030923e-05
209,assorted,1.4164865659433528e-05
210,greasy,1.3987164501557533e-05
211,luxurious,1.368051763521344e-05
212,rainy,1.368051763521344e-05
213,chopped,1.368051763521344e-05
214,leafy,1.361700787054104e-05
215,dolsot,1.361700787054104e-05
216,distant,1.361700787054104e-05
217,private,1.3540978053378039e-05
218,drunken,1.3453634027622614e-05
219,well,1.3453634027622614e-05
220,ayce,1.3453634027622614e-05
221,willing,1.3144747445122722e-05
222,endless,1.2975910962801163e-05
223,chaotic,1.2975910962801163e-05
224,lol,1.2794435151812255e-05
225,west,1.2753939968001122e-05
226,plentiful,1.2690281111525504e-05
227,nearby,1.2690281111525504e-05
228,curious,1.2686576544548978e-05
229,airy,1.2553349510713467e-05
230,well-made,1.2466051134586058e-05
231,non-dog,1.2466051134586058e-05
232,samgyupsal,1.2466051134586058e-05
233,spiced,1.2288776608118391e-05
234,scrumptious,1.2288776608118391e-05
235,normal,1.2186139377755812e-05
236,gooey,1.2122100907349718e-05
237,grand,1.1964314537704773e-05
238,dim,1.1964314537704773e-05
239,chilly,1.1955153911425024e-05
240,self-serve,1.1955153911425024e-05
241,colder,1.1955153911425024e-05
242,savory,1.194304647534594e-05
243,organic,1.1941257417814013e-05
244,hefty,1.1930188500613355e-05
245,seasoned,1.1930188500613355e-05
246,north,1.1606562706742483e-05
247,speedy,1.1606562706742483e-05
248,exotic,1.1606562706742483e-05
249,lively,1.1408596341790403e-05
250,picky,1.1316514002457298e-05
251,golden,1.1289820262116798e-05
252,roasted,1.1216226369610998e-05
253,entertaining,1.1196325425809348e-05
254,vast,1.094425513782152e-05
255,decadent,1.0857586652889958e-05
256,pricier,1.0703828771052329e-05
257,tamil,1.0541534189901634e-05
258,drier,1.0541534189901634e-05
259,california,1.0541534189901634e-05
260,beefy,1.0541534189901634e-05
261,jerk,1.0541534189901634e-05
262,contrary,1.0541534189901634e-05
263,afghani,1.0515590532606256e-05
264,lit,1.0515590532606256e-05
265,salted,1.0515590532606256e-05
