rank,noun,adj,count
302,drink,fantastic,1
303,coconut milk,delicious,1
304,woman,nice,1
305,woman,fast,1
306,I,thirsty,1
307,I,just come,1
308,place,sooo clean,1
309,you,sooo clean,1
310,place,favorite,1
311,che,also good,1
312,coconut milk tea,best,1
313,experience,very bad,1
314,drink,slow,1
315,it,really sweet,1
316,Super,slow,1
317,nothing,slow,1
318,nothing,good,1
319,goodness,so much,1
320,menu item,permanent,1
321,chance,second,1
322,it,really slow,1
323,it,suitable,1
324,thing,new,1
325,pandan waffle,green,1
326,bit,chewier,1
327,mochus,chewier,1
328,didnt,front,1
329,sop smoothie,sour,1
330,atmosphere,very clean,1
331,price,more expensive,1
332,atmosphere,more expensive,1
333,price,similar,1
334,Bambu,similar,1
335,place,similar,1
336,place,best,1
337,crap,powdered,1
338,fruit smoothie,delicious,1
339,fruit smoothie,fresh,1
340,drink,best,1
341,it,totally worth,1
342,wait,totally worth,1
343,experience,repeatable,1
344,week,next,1
345,experience,stellar,1
346,experience,less,1
347,time,more,1
348,it,same,1
349,ingredient,weirdly disgusting,1
350,drink,last,1
351,drink,sour,1
352,it,just too hit-or-miss,1
353,point,just too hit-or-miss,1
354,thing,same,1
355,it,really good,1
356,dessert,refreshing,1
357,Sunday,warm,1
358,Bambu,open,1
359,month,open,1
360,storefront,small,1
361,seating,limited,1
362,seating,small,1
363,table,even more limited,1
364,it,still nice,1
365,it,clean,1
366,service,always amazing,1
367,thanks,always amazing,1
368,she,very nice,1
369,she,fast,1
370,drink,fresh,1
371,time,fresh,1
372,time,good,1
373,boba,good,1
374,it,pretty good,1
375,number,pretty good,1
376,choice,boba,1
377,option,great,1
378,I,picky,1
379,boba texture,picky,1
380,Service,always very nice,1
381,Service,happy,1
382,option,iced,1
383,have,iced,1
384,baker,local,1
385,trip,horrid,1
386,a/c,cold,1
387,coconut,special,1
388,pandan jelly,special,1
389,longan,special,1
390,seed,special,1
391,coconut juice,special,1
392,they,quench,1
393,dessert,free,1
394,it,sweet,1
395,course,located,1
396,Bambu,only,1
397,Bambu,located,1
398,Lee,only,1
399,sandwich,located,1
400,weather,hot,1
401,shop,pretty empty,1
402,my,special,1
403,jelly,chewy,1
404,jelly,have,1
405,flavor,good,1
406,coconut flesh,hard,1
407,bit,hard,1
408,coconut,mature,1
409,coconut,hard,1
410,it,okay,1
411,pricing,steeper,1
412,bit,steeper,1
413,dollar,steeper,1
414,something,familiar,1
415,Bambu,such,1
416,it,better,1
417,table,unscented,1
418,table,cleaner,1
419,kind,chlorox-smelling,1
420,kind,cleaner,1
421,card system,loyalty/frequent,1
422,service,fast,1
423,I,pretty hooked,1
424,dessert,tasty,1
425,I,frequent,1
426,Bambu,frequent,1
427,Bambu,excited,1
428,boba,regular,1
429,boba,soft,1
430,consistency,springy,1
431,consistency,spongey,1
432,consistency,more,1
433,taro flavor,great,1
434,fruit,tropical,1
435,we,grateful,1
436,they,able,1
437,customer,last,1
438,place,refreshing,1
439,summer,hot,1
440,summer,cute,1
441,summer,refreshing,1
442,price,reasonable,1
443,tea,oolong,1
444,tea,favorite,1
445,coffee,best,1
446,it,clear,1
447,I,regular,1
448,I,really impressed,1
449,selection,available,1
450,selection,really impressed,1
451,drink,cold,1
452,%,sure,1
453,che,sure,1
454,it,weird,1
455,we,not sure,1
456,smell,not sure,1
457,if,not sure,1
458,tasting something,funny,1
459,option,different,1
460,side,thicker,1
461,side,little,1
462,add-one,free,1
463,chill,also super,1
464,desserts/drinks,vietnamese,1
465,coconut,young,1
466,order,whole,1
467,happen,whole,1
468,it,fine,1
469,drink,maximum,1
470,visit,next,1
471,they,generous,1
472,topping,generous,1
473,goodness,great,1
474,goodness,natural,1
475,type,many,1
476,hype,so excited,1
477,eventhough,overly sweet,1
478,boba milk tea,regular,1
479,oolong,regular,1
480,milk tea,much better,1
481,nothing,okay,1
482,nothing,special,1
483,fruit,mixed,1
484,while,little,1
485,side,plus,1
486,people,most,1
487,Bambu,awesome,1
488,drink,bad,1
489,favorite,special,1
490,tooth,sweet,1
491,date,traditional,1
492,smile,warm,1
493,smile,welcoming,1
494,I,annoyed,1
495,lol,annoyed,1
496,upgrade,free,1
497,drink,large,1
498,pt,large,1
499,drink,free,1
500,treat,new,1
501,Taro Lover,hubby,1
502,portion,very very large,1
503,it,unenjoyable,1
504,time,limited,1
505,today,special,1
506,it,delicious,1
507,twist,nice,1
508,feel,nice,1
509,addition,new,1
510,time,last,1
511,kind,hard,1
512,slice,hard,1
513,boba place,new,1
514,year,last,1
515,get,few,1
516,bambu,favorite,1
517,stop,great,1
518,it,located,1
519,plaza,located,1
520,people,amazing,1
521,drink,new,1
522,everything,amazing,1
523,da Max,awesome,1
524,month,few,1
525,time,so many,1
526,yelper,other,1
527,area,small,1
528,area,doable,1
