rank,noun,adj,count
1,fnb,red,19
2,fnb,fresh,13
3,fnb,vietnamese,8
4,fnb,green,7
5,fnb,real,7
6,fnb,other,6
7,fnb,black,6
8,time,next,5
9,person,favorite,5
10,coffee,vietnamese,5
11,person,friendly,5
12,time,few,4
13,door,next,4
14,fnb,good,4
15,fnb,favorite,4
16,person,happy,4
17,amount,right,4
18,fnb,refreshing,4
19,time,first,4
20,person,good,4
21,fnb,special,4
22,person,special,4
23,it,refreshing,4
24,trio,awesome,4
25,fnb,various,4
26,fnb,such,4
27,person,so glad,3
28,person,awesome,3
29,fnb,delicious,3
30,person,frequent,3
31,place,new,3
32,person,very friendly,3
33,service,good,3
34,person,very nice,3
35,fnb,asian,3
36,person,not sure,3
37,person,nice,3
38,table,small,3
39,it,good,3
40,person,excited,3
41,fnb,new,3
42,place,awesome,3
43,fnb,white,3
44,fnb,dessert-like,3
45,fnb,mung,3
46,it,nice,2
47,fan,huge,2
48,person,younger,2
49,fnb,sweet,2
50,service,great,2
51,week,few,2
52,it,tasty,2
53,person,so excited,2
54,dog,due,2
55,something,sweet,2
56,thing,good,2
57,it,not too sweet,2
58,person,located,2
59,person,unhappy,2
60,person,such,2
61,it,extremely sweet,2
62,it,soft,2
63,type,different,2
64,spot,new,2
65,dairy,free,2
66,time,long,2
67,fnb,crushed,2
68,fnb,creamy,2
69,it,hard,2
70,place,clean,2
71,fnb,same,2
72,person,tell,2
73,fnb,amazing,2
74,fnb,fantastic,2
75,person,fast,2
76,person,fine,2
77,place,only,2
78,fan,big,2
79,opening,soft,2
80,time,second,2
81,enjoy,second,2
82,bathroom,public,2
83,seating,public,2
84,person,delicious,2
85,fnb,free,2
86,fnb,located,2
87,person,only,2
88,fnb,chewy,2
89,atmosphere,clean,2
90,person,able,2
91,person,last,2
92,place,cute,2
93,person,sure,2
94,person,weird,2
95,place,great,2
96,cool,super,2
97,fnb,=,2
98,person,hubby,2
99,person,other,2
100,it,not bad,2
101,fnb,different,2
102,opening,grand,2
103,fnb,several,2
104,fnb,rich,2
105,fnb,yummy,2
106,location,other,2
107,location,different,2
108,person,welcome,2
109,thing,only,2
110,person,1st,2
111,person,oldest,2
112,place,located,1
113,fact,located,1
114,person,very helpful,1
115,transplant,nice,1
116,face,familiar,1
117,land,boba-deficient,1
118,part,favorite,1
119,fnb,comparable,1
120,alternative,crunchier,1
121,alternative,seaweed-based,1
122,quality,traditional,1
123,quality,tapioca-based,1
124,experience,comparable,1
125,handed,heavy,1
126,time,past,1
127,fnb,less,1
128,drink quality,reliable,1
129,person,too tired,1
130,person,busy,1
131,it,perfect,1
132,sweetness level,perfect,1
133,factor,different,1
134,complement,other,1
135,complement,not too sweet,1
136,complement,overbearing,1
137,fnb,not impressed,1
138,person,really friendly,1
139,person,do,1
140,it,frequent,1
141,treat,little,1
142,impress,few,1
143,person,disappointed,1
144,bit,disappointed,1
145,flavor,not much,1
146,anything,not much,1
147,goodness,treatishly,1
148,environment,clean,1
149,che place,favorite,1
150,che place,vietnamese,1
151,one,only,1
152,hide,only,1
153,it,great,1
154,picture menu wall,large,1
155,combination,creative,1
156,combination,colorful,1
157,have,too sweet,1
158,taste,too sweet,1
159,tooth,pretty sweet,1
160,fnb,as good,1
161,one,as good,1
162,time,less sweet,1
163,trip,cali,1
164,person,extremely friendly,1
165,fnb,blended,1
166,addition,great,1
167,part,asian,1
168,spot,cute,1
169,spot,little,1
170,star,good,1
171,smell,off,1
172,person,quite full,1
173,time,quite full,1
174,something,cold,1
175,person,fellow,1
176,bean drink,red,1
177,person,quite happy,1
178,it,well balanced,1
179,door,located,1
180,something,refreshing,1
181,shopping,refreshing,1
182,choice,excellent,1
183,fnb,not so pleasant,1
184,experience,not so pleasant,1
185,person,different,1
186,beanie,net,1
187,cap,net,1
188,person,very disgusted,1
189,experience,very disgusted,1
190,today,very disappointed,1
191,person,ecstatic,1
192,soursop smoothie,delicious,1
193,person,welcoming,1
194,area,very unique,1
195,flavor,asian,1
196,audience,broader,1
197,appeal,sweet,1
198,walk,much,1
199,traffic,much,1
200,seat,cozy,1
201,wifus,cozy,1
202,dam,such,1
203,fnb,not overly sweet,1
204,syrup,simple,1
205,fnb,generous,1
206,bit,generous,1
207,side,pricey,1
208,fnb,very pleased,1
209,bunch,whole,1
210,che,vietnamese,1
211,fnb,average,1
212,person,sweet,1
213,time,here several,1
214,person,here several,1
215,hand,other,1
216,price,hefty,1
217,price,relative,1
218,price,usual,1
219,portion size,sizeable,1
220,portion size,share,1
221,place,other,1
222,average,above,1
223,time,very disappointed,1
224,taste,very disappointed,1
225,taste,few,1
