rank,noun,adj,count
298,refill,good,1
299,treat,unusual,1
300,name,unusual,1
301,filling,creamy,1
302,filling,cannoli-like,1
303,fnb,crisp,1
304,fnb,upscale,1
305,quality beef,lower,1
306,serving,smaller,1
307,management,indifferent,1
308,Choice,best,1
309,Choice,not prime,1
310,item,other,1
311,item,just not worth,1
312,person,willing,1
313,end facility,low,1
314,overhaul,total,1
315,Dining Room,classy,1
316,Dining Room,update,1
317,need,classy,1
318,need,update,1
319,fnb,nice,1
320,decor,wonderful,1
321,decor,comfortable,1
322,person,huge,1
323,time,last,1
324,fnb,phenominal,1
325,tast,wonderful,1
326,wine,best,1
327,Steak House,very unassuming,1
328,casino,very unassuming,1
329,door,single,1
330,door,double,1
331,it,small,1
332,it,lowbrow,1
333,decor,very upscale,1
334,dress,fine,1
335,upscale restaurant,fine,1
336,amount,right,1
337,fnb,crunchy,1
338,way,rare,1
339,taste,wonderful,1
340,way,full,1
341,flavor,full,1
342,Au Gratin,best,1
343,seasoning,extra,1
344,order,not small,1
345,fnb,so much,1
346,fnb,so fluffy,1
347,fnb,light,1
348,Whenever,also watery,1
349,fnb,fluffy,1
350,past,fluffy,1
351,person,also watery,1
352,person,so light,1
353,person,fluffy,1
354,person,tasty,1
355,fnb,very tasty,1
356,service,pretty good,1
357,person,also very apologetic,1
358,service score,very low,1
359,seating,very busy,1
360,arrange,very busy,1
361,it,still warm,1
362,it,wonderful,1
363,fyi,back open,1
364,end,back open,1
365,try,close,1
366,neighborhood,close,1
367,person,very disappointed,1
368,nothing,fine,1
369,nothing,top,1
370,steakhouse,recent,1
371,person,most disappointed,1
372,fnb,most disappointed,1
373,fnb,scalloped,1
374,fnb,too dry,1
375,fnb,worse,1
376,grocery,local,1
377,entree,amazing,1
378,person,overbearing,1
379,person,awesome,1
380,fnb,even better,1
381,visit,next,1
382,service,bad,1
383,service,hopeful,1
384,word,not pleasant,1
385,fnb,just awful,1
386,liver,bad,1
387,person,pleasant,1
388,person,listen,1
389,visit,future,1
390,coffee shop,not bad,1
391,evening,special,1
392,fnb,short,1
393,fnb,succulent,1
394,scallop,best,1
395,haunt,regular,1
396,dining,nice,1
397,corner,dimly-lit,1
398,casino,new-but-second-rate,1
399,fnb,juicy,1
400,hell,hot,1
401,person,so attentive,1
402,person,almost constantly apologetic,1
403,party,large,1
404,party,due,1
405,fnb,dark,1
406,fnb,moist,1
407,person,collective,1
408,fnb,almost quiveringly rare,1
409,fnb,delish,1
410,wine list,good,1
411,atmosphere compliment,good,1
412,fnb,mighty,1
413,price,appropriately high,1
414,everything,amazing,1
415,steakhouse,mid-range,1
416,steakhouse,best,1
417,person,efficient,1
418,person,really friendly,1
419,person,really knowledgeable,1
420,menu,really knowledgeable,1
421,piano,live,1
422,itself,pretty impressive,1
423,piano,pretty impressive,1
424,attire,bad,1
425,restaurant,really fancy,1
426,year,great,1
427,person,few,1
428,Portobello Frites,absolutely amazing,1
429,it,not any better,1
430,it,worse,1
431,restaurant,most,1
432,restaurant,other,1
433,restaurant,not any better,1
434,restaurant,worse,1
435,service,fantastic,1
436,fnb,lovely,1
437,touch,other,1
438,touch,small,1
439,feeling evening,surprisingly elegant,1
440,price,far lower,1
441,hour,last,1
442,mile,green,1
443,dinner date,nice,1
444,milestone,nice,1
445,money,not worth,1
446,it,flavorless,1
447,person,disappointed,1
448,spinach,delicious,1
449,spinach,sautéed,1
450,everything,excellent,1
451,constraint,tight,1
452,service,nice,1
453,service,awkward,1
454,vodka gimlet,far too much,1
455,lime,far too much,1
456,it,serviceable,1
457,brûlée,good,1
458,steak house,darn,1
459,steak house,good,1
460,casino,very mediocre,1
461,rate,first,1
462,cannery,special,1
463,price,not nearly whats,1
464,fnb,similar,1
465,oz,delicious,1
466,slab,nice,1
467,evening,very crowded,1
468,team effort,true,1
469,cocktail,potent,1
470,ambiance,attractive,1
471,its,pretty positive,1
472,value,very good,1
473,value,pretty positive,1
474,evening,great,1
475,martini,exceptional,1
476,martini,dirty,1
477,point,exceptional,1
478,party,fabulous,1
479,person,very pleased,1
480,fnb,very pleased,1
481,downfall,only,1
482,person,free,1
483,smile,free,1
484,person,spectacular,1
485,person,bring,1
486,lavosh,best,1
487,fnb,8oz,1
488,medium,mine,1
489,hub,rare,1
490,medium,straight,1
491,flavor,just full,1
492,it,particularly nice,1
493,taste,small,1
494,experience,beautiful,1
495,fnb,beautiful,1
496,fnb,drunk,1
497,person,wrong,1
498,person,happily so,1
499,person,pretty terrific,1
500,fnb,pretty terrific,1
501,fnb,most tender,1
502,time,long,1
503,fnb,also delicious,1
504,fnb,unbelievable,1
505,decide,worth,1
506,bargain,:-rrb-,1
507,include,:-rrb-,1
508,fnb,special,1
509,fnb,unreal,1
510,month,other,1
511,person,really good,1
512,place,fabulous,1
513,ambiance,cozy,1
514,pianist,talented,1
515,pianist,cozy,1
516,restaurant,very few,1
517,restaurant,nice,1
518,house,close,1
519,dining,fine,1
520,fnb,enjoyable,1
521,course meal,awesome,1
522,item,different,1
523,choice,filet,1
524,fnb,also very tastey,1
525,rest,amazing,1
526,point,full,1
527,point,not enjoy,1
528,thing,entire,1
529,tier steakhouse,top,1
530,item,overly tough,1
531,person,bad,1
532,table,other,1
533,other,more stubborn,1
534,gem right,fabulous,1
535,gem right,little,1
536,atmosphere,fabulous,1
537,person,impeccable,1
538,service,have,1
539,gem,little,1
540,ambience,great,1
541,bread bowl variety,nice,1
542,fnb,really weird,1
543,lettuce,really weird,1
544,it,soft,1
545,it,mushy-looking,1
546,menu,three-course,1
547,fnb,battered,1
548,brisket,battered,1
549,person,normal,1
550,it,still too much,1
551,it,mushy,1
552,it,inedible,1
553,fnb,okay,1
554,jalapeño spoon bread,cold,1
555,jalapeño spoon bread,crusty,1
556,it,bad,1
557,thing,normal,1
558,restaurant,awesome,1
559,side,fancy,1
560,fnb,fried,1
561,fnb,extremely good,1
562,fnb,also excellent,1
563,cooking,fine,1
564,anything,fine,1
565,cooking,much,1
566,anything,much,1
567,bite,single,1
568,chocolate cake,also pretty great,1
569,it,not too sweet,1
570,dollop,not too sweet,1
571,fnb,house-made,1
572,crust,so flavorful,1
573,au jus,very good,1
574,night,slow,1
575,glass,free,1
576,glass,nice,1
577,restaurant,very clean,1
578,review,really great,1
579,review,due,1
580,review,most resto,1
581,review,sad,1
582,bearer,sad,1
583,news,bad,1
584,fnb,so tough,1
585,almond bread,other,1
586,nothing,other,1
587,nothing,worth,1
588,fnb,dirty,1
589,nothing,memorable,1
590,song,great,1
591,person,incredible,1
592,fnb,incredible,1
593,slice,thick,1
594,serve,thick,1
595,fnb,creamy,1
596,fnb,delicate,1
597,point,delicate,1
598,point,bland,1
599,clam,more,1
600,fnb,more,1
601,crumble,so small,1
602,it,hard,1
603,rind,thick,1
604,rind,very fatty,1
605,service,polite,1
606,fee,small,1
607,fee,fine,1
608,side order,full,1
609,service,spotty,1
610,busser,spotty,1
611,fnb,not so much,1
612,rib end cut,prime,1
613,concoction,laden,1
614,fnb,big,1
615,flavor,good,1
616,duty,friendly,1
617,thing,negative,1
618,person,large,1
619,person,come,1
620,casino,quaint,1
621,casino,cigarette-filled,1
622,time,very memorable,1
623,time,beautiful,1
624,evening,lovely,1
625,person,old,1
626,year,old,1
627,person,3-course,1
628,choice,special,1
629,chocolate lava cake,special,1
630,fnb,extra,1
631,bread basket,delicious,1
632,person,comfortable,1
633,fnb,absolutely delicious,1
634,steakhouse,favorite,1
635,top,other,1
636,person,always friendly,1
637,person,engaging,1
638,soup fan,second,1
639,She-Crab,second,1
640,none,second,1
641,fnb,always perfect,1
642,marbeling,always perfect,1
643,vegetable,amazing,1
644,wine selection,great,1
645,bar,full,1
646,it,pricey,1
647,money,worth,1
648,Whenever,possible,1
649,selection,great,1
650,reservation,hubby,1
651,place,busy,1
652,reservation,busy,1
653,piano player,live,1
654,care,very good,1
655,person,enough,1
656,thing,special,1
657,price,actually reasonable,1
658,way,only,1
659,way,nice,1
660,person,so incredible,1
661,break basket,extraordinary,1
662,fnb,extraordinary,1
663,crème brûlée,free,1
664,peak,not scary,1
665,price,so much,1
666,person,sincerely impressed,1
667,perfection,absolute,1
668,side,other,1
669,night,wonderful,1
670,all,wonderful,1
671,excursion,next,1
672,fnb,very inexpensive,1
673,quality,very inexpensive,1
674,fnb,several,1
675,everything,very good,1
676,night,first,1
677,plus,western,1
678,steakhouse,nice,1
679,person,not disappointed,1
680,day,next,1
681,app,very good,1
682,pie,ok,1
683,Jamaica Almond Fudge,similar,1
684,dining establishment,fine,1
685,clientele,fine,1
686,dining establishment,tacky,1
687,clientele,tacky,1
688,steak house,really great,1
689,person,professional,1
690,person,make,1
691,night,very enjoyable,1
692,it,amazing,1
693,steakhouse,as good,1
694,player,best,1
695,person,as good,1
696,today,as good,1
697,night,great,1
698,steakhouse,most,1
699,person,very slow,1
700,Bread Basket,always good,1
701,truffle sauce,excellent,1
702,come,first,1
703,occasion,perfect,1
704,dining experience,pleasurable,1
705,steakhouse,finest,1
706,service,unbelievable,1
707,ambiance,great,1
708,dining destination,amazing,1
709,shout,big,1
710,bartender,top,1
711,fnb,most common,1
712,fnb,cheap,1
713,fnb,cold,1
714,house salad,tiny,1
715,iceberg,diced,1
716,half potato,cold,1
717,fnb,surprisingly very tasty,1
718,portion size,healthy,1
