rank,word,indicativeness
1,better,0.0005345580231841057
2,bland,0.0005218640785982688
3,ok,0.00043364096623644285
4,bad,0.00042972555025082835
5,dry,0.000371893219698005
6,same,0.0003490563027076453
7,okay,0.00034048231793887653
8,mediocre,0.00031790313331303116
9,cold,0.000260532192775061
10,decent,0.0002474981106451379
11,disappointing,0.00023991412203101396
12,much,0.0002312544595296783
13,slow,0.00022044688815960647
14,chinese,0.000214256307139665
15,second,0.0002028433010278365
16,other,0.00019886733106043282
17,empty,0.00019451534433098465
18,flavorless,0.00017945530399379923
19,fine,0.00017467131709243903
20,disappointed,0.00016966659667760618
21,small,0.00016093509571618245
22,dirty,0.00015947287885181524
23,last,0.00015733696124346436
24,terrible,0.0001483310369319753
25,tasteless,0.00014393504371841301
26,average,0.00013706641216598852
27,poor,0.00013544982861157443
28,high,0.00012903909845291952
29,watery,0.00012362332754348976
30,sad,0.00012236144929449465
31,tiny,0.00012074018140897496
32,hard,0.00011328986737711737
33,meh,0.00011250392531457913
34,soggy,0.00011122040215267432
35,salty,0.00010472111139705513
36,horrible,0.00010245811770207942
37,first,0.00010084917962226533
38,gross,9.608039506821618e-05
39,only,9.55796011943889e-05
40,greasy,9.336232016598483e-05
41,wrong,8.359620449378549e-05
42,worse,8.156685720416958e-05
43,rude,7.825630489895351e-05
44,weird,7.772581000378545e-05
45,previous,7.656153378185905e-05
46,real,7.46388894580676e-05
47,deep,7.41887196510612e-05
48,least,7.059688122716847e-05
49,alright,7.001636951362783e-05
50,french,6.931990285593702e-05
51,expensive,6.877806362404613e-05
52,awful,6.83847537856837e-05
53,stale,6.729173511202423e-05
54,sorry,6.592083462761655e-05
55,busy,6.477803543511422e-05
56,short,6.418032534190303e-05
57,sugary,6.329484367942964e-05
58,basic,6.264194236554505e-05
59,more,6.237431431750193e-05
60,tough,6.19516407619808e-05
61,uncomfortable,6.003863232496532e-05
62,mushy,5.915689171052022e-05
63,positive,5.852835366435091e-05
64,correct,5.806372222138832e-05
65,so-so,5.745422196044926e-05
66,subpar,5.6951530729564115e-05
67,ridiculous,5.6250143653625594e-05
68,overall,5.486088614747755e-05
69,ready,5.412107929900914e-05
70,few,5.350430277965401e-05
71,frustrated,5.060474481387537e-05
72,enough,4.8985100993542094e-05
73,strange,4.783304055015824e-05
74,chewy,4.7825902919003064e-05
75,odd,4.775977934412505e-05
76,longer,4.656793538050513e-05
77,underwhelming,4.6335600015727576e-05
78,sub-par,4.586291969800409e-05
79,wait,4.513457806513215e-05
80,thin,4.438254558091369e-05
81,forgettable,4.419398757131251e-05
82,depressing,4.419398757131251e-05
83,canned,4.419398757131251e-05
84,unprofessional,4.4028788772652255e-05
85,low,4.376785866984751e-05
86,fried,4.3082669894906066e-05
87,closest,4.2890490186375056e-05
88,2nd,4.2091779687367974e-05
89,slimy,4.173550288090428e-05
90,lackluster,4.173550288090428e-05
91,difficult,4.150820984790173e-05
92,sketchy,4.068966265630873e-05
93,smaller,3.9164166718966947e-05
94,orange,3.87236791878634e-05
95,front,3.815659092660254e-05
96,passable,3.807203186461956e-05
97,fresh-squeezed,3.773525805694252e-05
98,hungry,3.7177136407771146e-05
99,third,3.712882298880917e-05
100,korean,3.68373683434973e-05
101,big,3.516035534697822e-05
102,proper,3.5008184756813914e-05
103,less,3.469045593579956e-05
104,over-priced,3.457576403294375e-05
105,clumpy,3.457576403294375e-05
106,medium,3.4410426254111886e-05
107,bare,3.3844487823694976e-05
108,brown,3.348016303854993e-05
109,wet,3.254453008326221e-05
110,incorrect,3.183046004108465e-05
111,larger,3.162715414209445e-05
112,accurate,3.130434182492528e-05
113,additional,3.128579729437699e-05
114,young,3.0908692222965434e-05
115,inattentive,3.0660227457071354e-05
116,grainy,3.0660227457071354e-05
117,actual,3.0337875574994928e-05
118,serious,2.9662016653435377e-05
119,dark,2.9301749592608904e-05
120,fellow,2.911857458338415e-05
121,lack,2.8906347671977817e-05
122,bahn,2.872711098022463e-05
123,tolerable,2.8595488375966546e-05
124,acceptable,2.8222273965328737e-05
125,bitter,2.7854387860310978e-05
126,generic,2.7854387860310978e-05
127,inconsistent,2.7854387860310978e-05
128,bonus,2.7854387860310978e-05
129,unpleasant,2.780510053816858e-05
130,awkward,2.7208042203447552e-05
131,minimum,2.7082041533692564e-05
132,undercooked,2.6948816205351912e-05
133,extra,2.683074759253729e-05
134,unwelcome,2.622217358252735e-05
135,african,2.622217358252735e-05
136,shredded,2.565008202191329e-05
137,likely,2.5552503330583107e-05
138,carne,2.5460625957214515e-05
139,similar,2.536309789811619e-05
140,unimportant,2.507151843292625e-05
141,yuck,2.507151843292625e-05
142,disabled,2.507151843292625e-05
143,long,2.4905276143132584e-05
144,sticky,2.484129351514409e-05
145,crappy,2.4729573217020403e-05
146,dead,2.4729573217020403e-05
147,yellow,2.461966439899366e-05
148,upset,2.441379759378524e-05
149,appropriate,2.4329462970897517e-05
150,dishonest,2.4329462970897517e-05
151,lousy,2.4329462970897517e-05
152,lower,2.418111833817085e-05
153,curious,2.417521740449129e-05
154,lazy,2.392575205645618e-05
155,boring,2.3618276519557475e-05
156,authentic,2.3407710952134944e-05
157,saucy,2.317356517584251e-05
158,half,2.2716459893001994e-05
159,polish,2.2644327405605542e-05
160,higher,2.2396165924577247e-05
161,reminiscent,2.233572891513869e-05
162,non-existent,2.233572891513869e-05
163,unremarkable,2.2256140719500697e-05
164,unlucky,2.2096993785656255e-05
165,flavourless,2.2096993785656255e-05
166,narrow,2.1988472775880165e-05
167,older,2.197234993071316e-05
168,miserable,2.1163659436578155e-05
169,loose,2.0853825403626448e-05
170,borderline,2.0562149102630427e-05
171,understaffed,2.0562149102630427e-05
172,nonexistent,2.0562149102630427e-05
173,ours,2.0562149102630427e-05
174,tired,2.0562149102630427e-05
175,inside,2.008809782312996e-05
176,rough,1.977625038828497e-05
177,inedible,1.9765503306607933e-05
178,separate,1.9739377866861728e-05
179,stingy,1.971896390350675e-05
180,sparse,1.971896390350675e-05
181,ugly,1.971896390350675e-05
182,dire,1.966663018689552e-05
183,soupy,1.966663018689552e-05
184,unseasoned,1.966663018689552e-05
185,meager,1.9270898447985206e-05
186,unrepairable,1.9270898447985206e-05
187,anemic,1.9270898447985206e-05
188,commensurate,1.9270898447985206e-05
189,squeeky,1.9270898447985206e-05
190,ho-hum,1.9270898447985206e-05
191,ahoy,1.9270898447985206e-05
192,threaded,1.9270898447985206e-05
193,substandard,1.9270898447985206e-05
194,approximate,1.9270898447985206e-05
195,sound-proofed,1.9270898447985206e-05
196,unbrowned,1.9270898447985206e-05
197,insipid,1.9270898447985206e-05
198,hollow,1.9270898447985206e-05
199,out-of-uniform,1.9270898447985206e-05
200,danceable,1.9270898447985206e-05
201,non-peak,1.9270898447985206e-05
202,2-star,1.9270898447985206e-05
203,blah,1.9270898447985206e-05
204,extraordinary,1.8517761946809238e-05
205,former,1.829052088065554e-05
206,rubbery,1.829052088065554e-05
207,burnt,1.8246451155115593e-05
208,unacceptable,1.8138694802298356e-05
209,thick,1.8126021956050207e-05
210,angry,1.7713707389668107e-05
211,prepackaged,1.761178704292335e-05
212,unappetizing,1.761178704292335e-05
213,off,1.761178704292335e-05
214,plus,1.761178704292335e-05
215,several,1.7606614142907252e-05
216,thirsty,1.7593020101254868e-05
217,scrambled,1.7593020101254868e-05
218,atrocious,1.7593020101254868e-05
219,messy,1.7388905460600866e-05
220,filthy,1.7302258118714477e-05
221,multiple,1.697409892811542e-05
222,extreme,1.6744139115682113e-05
223,social,1.6744139115682113e-05
224,oily,1.6508204791673432e-05
225,fake,1.648505157837473e-05
226,mush,1.627586506252349e-05
227,epic,1.627586506252349e-05
228,western,1.627586506252349e-05
229,freshest,1.627586506252349e-05
230,bright,1.612214248835667e-05
231,devoid,1.5831800947843952e-05
232,heck,1.5831800947843952e-05
233,scallop,1.5831800947843952e-05
234,satisfactory,1.5831800947843952e-05
235,sauced,1.5831800947843952e-05
236,bogus,1.5831800947843952e-05
237,acidic,1.5831800947843952e-05
238,malay,1.566763961729805e-05
239,lacklustre,1.566763961729805e-05
240,maple,1.566763961729805e-05
241,8/10,1.566763961729805e-05
242,stereotypical,1.566763961729805e-05
243,idiotic,1.566763961729805e-05
244,bored,1.566763961729805e-05
245,paid,1.566763961729805e-05
246,impolite,1.566763961729805e-05
247,averse,1.566763961729805e-05
248,4/5,1.566763961729805e-05
249,smug,1.566763961729805e-05
250,aussie,1.566763961729805e-05
251,overrated,1.566763961729805e-05
252,angled,1.566763961729805e-05
253,lackadaisical,1.566763961729805e-05
254,peculiar,1.566763961729805e-05
255,non-sushi,1.566763961729805e-05
