rank,word,frequency
1,good,673
2,other,545
3,bad,463
4,more,432
5,first,394
6,worst,374
7,better,344
8,new,324
9,last,297
10,rude,296
11,horrible,288
12,next,268
13,great,258
14,same,252
15,few,248
16,terrible,247
17,nice,210
18,many,178
19,only,172
20,old,163
21,cold,162
22,much,157
23,wrong,157
24,least,152
25,full,151
26,poor,151
27,worth,145
28,extra,144
29,small,141
30,best,139
31,sure,137
32,long,136
33,different,135
34,little,135
35,second,127
36,busy,127
37,hot,124
38,worse,117
39,fine,117
40,entire,115
41,dirty,115
42,whole,115
43,several,111
44,awful,110
45,dry,110
46,big,107
47,free,106
48,hard,105
49,high,104
50,less,96
51,able,95
52,most,95
53,empty,88
54,close,86
55,ready,85
56,own,82
57,ok,81
58,clean,79
59,happy,76
60,large,76
61,slow,75
62,friendly,75
63,special,72
64,open,71
65,late,70
66,due,69
67,bland,69
68,white,67
69,sorry,67
70,super,66
71,fried,65
72,simple,64
73,fresh,63
74,decent,63
75,available,63
76,short,60
77,ridiculous,60
78,chinese,59
79,cheap,59
80,unprofessional,59
81,okay,58
82,such,58
83,expensive,58
84,additional,57
85,overall,57
86,huge,57
87,sweet,57
88,possible,55
89,disappointed,55
90,later,54
91,real,54
92,negative,54
93,sick,53
94,right,53
95,zero,52
96,mediocre,51
97,quick,51
98,regular,51
99,single,49
100,multiple,48
101,low,48
102,disappointing,47
103,sad,47
104,half,46
105,clear,46
106,spicy,45
107,total,45
108,enough,44
109,past,44
110,greasy,43
111,amazing,43
112,salty,42
113,loud,42
114,longer,41
115,korean,41
116,black,41
117,nasty,41
118,professional,39
119,gross,39
120,tasteless,39
121,correct,37
122,hungry,37
123,young,36
124,previous,34
125,basic,34
126,local,34
127,complete,34
128,normal,34
129,main,32
130,crappy,31
131,early,31
132,plain,31
133,unacceptable,30
134,soggy,30
135,safe,30
136,cool,30
137,back,29
138,delicious,29
139,excellent,29
140,absolute,29
141,tiny,29
142,rebel,29
143,particular,28
144,red,28
145,true,28
146,warm,28
147,general,28
148,easy,28
149,actual,27
150,honest,27
151,funny,27
152,personal,27
153,green,27
154,filthy,27
155,original,26
156,aware,26
157,unfriendly,26
158,tough,26
159,helpful,26
160,awesome,26
