rank,word,indicativeness
1,worst,0.0013834512245092
2,rude,0.0009871364826981026
3,horrible,0.0009569996427588472
4,terrible,0.0007904473062522051
5,bad,0.0006305103591685292
6,poor,0.00039976838864337285
7,awful,0.00035167175136448584
8,worse,0.0003404423715114814
9,dirty,0.00025903171323834095
10,last,0.0002518149059284256
11,unprofessional,0.0002061182934476612
12,same,0.00019558731935324401
13,zero,0.00019176305658722548
14,wrong,0.00016531418195144424
15,ridiculous,0.00015888479694998412
16,cold,0.00014608242350724163
17,entire,0.00014548933641657936
18,disappointed,0.00014202186730511357
19,sorry,0.0001397872622621412
20,sick,0.00013825489571497442
21,new,0.0001348465064617393
22,additional,0.00013428486794458212
23,nasty,0.00012212545174114238
24,empty,0.00012066522510526673
25,rebel,0.0001200407151793532
26,later,0.00011829086379015212
27,old,0.00011187763230972801
28,least,0.00010864391856520419
29,gross,0.00010806023654470413
30,unacceptable,0.000105191293877639
31,tasteless,0.00010109748247049904
32,extra,0.00010093664549977016
33,fine,0.00010000565288271575
34,total,9.109447986992989e-05
35,unfriendly,8.819167837175018e-05
36,incompetent,8.734307767088624e-05
37,negative,8.717841153994509e-05
38,dry,8.671208122034465e-05
39,filthy,8.541823847229175e-05
40,crappy,8.47934431965279e-05
41,shady,8.396522466447764e-05
42,correct,7.429740641025987e-05
43,racist,6.748717371181701e-05
44,unhappy,6.738026004325927e-05
45,condescending,6.645830852491993e-05
46,several,6.569830812718687e-05
47,possible,6.465330902495869e-05
48,second,6.150109527881581e-05
49,dishonest,5.8071764178237494e-05
50,lousy,5.8071764178237494e-05
51,clear,5.7869112223940736e-05
52,mad,5.7517100567019906e-05
53,first,5.6909845277840046e-05
54,complete,5.4855583403456786e-05
55,disappointing,5.297030655778277e-05
56,sad,5.297030655778277e-05
57,shitty,5.25956469388195e-05
58,apologetic,5.226169664668838e-05
59,mediocre,5.118534228147698e-05
60,due,5.065302675104959e-05
61,pathetic,5.024670539406907e-05
62,illegal,5.003647815588376e-05
63,urgent,4.789431890403621e-05
64,horrendous,4.478897699145777e-05
65,stupid,4.476162264819403e-05
66,multiple,4.3257268570325826e-05
67,less,4.212032842382797e-05
68,aware,4.21130655641167e-05
69,stale,4.1571083051154684e-05
70,bland,4.150978321508897e-05
71,rudest,4.147657799578776e-05
72,wet,4.113085869580576e-05
73,initial,4.113085869580576e-05
74,medical,4.099975134626522e-05
75,responsible,3.9874985114951965e-05
76,disrespectful,3.9874985114951965e-05
77,broken,3.972119923749603e-05
78,unwilling,3.960989989535562e-05
79,flavorless,3.9598008804055476e-05
80,obvious,3.911338749576926e-05
81,corporate,3.83689695788426e-05
82,homeless,3.745215404438247e-05
83,constant,3.716492654684568e-05
84,useless,3.703439218195915e-05
85,ill,3.651297701605469e-05
86,serious,3.611314897752235e-05
87,frustrated,3.5811038273586435e-05
88,unpleasant,3.579472450467223e-05
89,defensive,3.506376462587966e-05
90,extended,3.474997473848812e-05
91,black,3.336875684059745e-05
92,online,3.286885788623208e-05
93,3rd,3.222036838329517e-05
94,representative,3.194847311345339e-05
95,suppose,3.194847311345339e-05
96,next,3.0940122097303126e-05
97,unethical,3.0807699918609925e-05
98,sub,3.069129114542694e-05
99,absolute,3.064641673934919e-05
100,further,3.048878122027247e-05
101,arrogant,3.046185764528838e-05
102,third,3.0255931319264046e-05
103,inedible,2.93925636235131e-05
104,persian,2.93925636235131e-05
105,embarrassing,2.9035882089118747e-05
106,rubbery,2.858303224990008e-05
107,single,2.8539573885080542e-05
108,inept,2.8434320134935826e-05
109,unsafe,2.8380986468309473e-05
110,false,2.8322158296269963e-05
111,past,2.817198156031308e-05
112,allergic,2.8137244357817914e-05
113,incorrect,2.8137244357817914e-05
114,safe,2.766217562251901e-05
115,ready,2.743738306002027e-05
116,legal,2.7384732762041017e-05
117,miserable,2.7172796316826414e-05
118,dumb,2.6943268595057677e-05
119,severe,2.6837011032550938e-05
120,overpriced,2.6837011032550938e-05
121,long,2.6758247886032386e-05
122,financial,2.658332340996798e-05
123,edible,2.645514885298816e-05
124,beware,2.6406599930237078e-05
125,pull-up,2.6406599930237078e-05
126,furious,2.6129755208310784e-05
127,snarky,2.6129755208310784e-05
128,late,2.57605628639583e-05
129,slow,2.5156569644607e-05
130,final,2.4526091086705095e-05
131,faster,2.4442343830435647e-05
132,horrific,2.416858381728737e-05
133,unhelpful,2.416858381728737e-05
134,unable,2.4009556805922475e-05
135,vague,2.3947159452018104e-05
136,dead,2.3215104818366044e-05
137,bottom,2.2394488495728886e-05
138,synthetic,2.2394488495728886e-05
139,negligent,2.200549994186423e-05
140,cocky,2.200549994186423e-05
141,poofy,2.200549994186423e-05
142,horrid,2.183638114827359e-05
143,inconsiderate,2.1816695204298137e-05
144,previous,2.1681153455208743e-05
145,whole,2.095349900712563e-05
146,unsanitary,2.077486636138202e-05
147,unbelievable,2.0716454403810545e-05
148,current,2.070827100162755e-05
149,present,2.053345600500366e-05
